LAKE,Date,Temperature_deg_C,Conductivity_uS_cm,Salinity_ppt,Depth_m
D,11-08-2010,22,442.6,0.2,1
B,16-08-2010,19.5,520,0.3,1
P,17-08-2010,19.9,1340,0.7,1
L,23-07-2010,21.8,1894,1,1
WW,26-07-2010,21.6,1242,0.7,1
D,19-05-2010,9.6,312.7,0.2,1
P,26-05-2010,11.8,946,0.6,1
C,27-05-2010,11.7,1208,0.8,1
L,28-05-2010,9.7,1430,1,1
C,09-06-2010,15.2,1316,0.8,1
L,11-06-2010,12.5,1535,1,1
D,16-06-2010,11.7,326.7,0.2,1
K,18-06-2010,15.6,1276,0.8,1
WC,28-06-2010,21.1,957,0.5,1
WW,28-06-2010,21,953,0.5,1
D,30-06-2010,18.1,386.1,0.2,1
L,09-07-2010,19.7,1810,1,1
K,27-08-2010,19.5,1297,0.7,1
B,30-08-2010,17.8,504,0.3,1
P,31-08-2010,18.1,1338,0.8,1
C,01-09-2010,18.1,1313,0.8,1
L,03-09-2010,18,1749,1,1
P,20-07-2010,21.1,1079,0.6,1
K,07-05-2010,6.2,1039,0.8,1
B,10-05-2010,8,332.3,0.2,1
P,11-05-2010,7.8,890,0.7,1
C,12-05-2010,9.5,1125,0.8,1
L,14-05-2010,9.9,1459,1.1,1
D,28-07-2010,21.2,432.9,0.2,1
C,18-08-2010,19.9,1373,0.8,1
L,20-08-2010,19.8,1826,1,1
WW,31-05-2010,11.6,793,0.5,1
B,05-07-2010,22.2,453.9,0.2,1
P,06-07-2010,20.7,1079,0.6,1
C,07-07-2010,21.6,1380,0.7,1
WC,02-05-2011,6.1,332,0.3,1
WW,02-05-2011,5.8,325.7,0.2,1
B,09-05-2011,9.5,388.5,0.3,1
P,10-05-2011,9.4,694,0.5,1
C,11-05-2011,8.2,875,0.6,1
WC,16-05-2011,12.8,506,0.3,1
WW,16-05-2011,12.6,498,0.3,1
D,18-05-2011,6.5,301.6,0.2,1
B,24-05-2011,14.6,465,0.3,1
P,25-05-2011,15.3,572,0.3,1
C,26-05-2011,13.9,1041,0.7,1
L,27-05-2011,11.8,1388,0.9,1
WW,30-05-2011,13.3,634,0.4,1
WC,30-05-2011,13.4,634,0.4,1
L,10-06-2011,14.9,1493,0.9,1
D,15-06-2011,15.2,397.6,0.2,1
WW,27-06-2011,20.4,735,0.4,1
D,29-06-2011,17.5,398.7,0.2,1
K,17-06-2011,16.9,940,0.6,1
C,22-06-2011,18.2,1151,0.7,1
L,24-06-2011,17.2,1549,0.9,1
WC,27-06-2011,20.2,734,0.4,1
K,30-06-2011,19,959,0.5,1
B,02-08-2011,23,621,0.3,1
P,03-08-2011,22.4,1019,0.5,1
B,04-07-2011,21.9,583,0.3,1
P,05-07-2011,22.8,967,0.5,1
C,04-08-2011,23.3,1157,0.6,1
L,05-08-2011,22.1,1765,0.9,1
C,06-07-2011,23.6,1140,0.6,1
L,08-07-2011,21.5,1720,0.9,1
WC,11-07-2011,21.9,926,0.5,1
WW,11-07-2011,21.8,924,0.5,1
B,13-07-2011,21.6,595,0.3,1
K,15-07-2011,21.6,1029,0.5,1
D,18-07-2011,21.4,416.8,0.2,1
P,19-07-2011,25.3,844,0.4,1
C,20-07-2011,25.9,1210,0.6,1
D,01-06-2011,8.4,325.8,0.2,1
B,06-06-2011,14.9,486,0.3,1
P,07-06-2011,14.1,748,0.5,1
C,08-06-2011,14,1051,0.7,1
B,20-06-2011,18.2,531,0.3,1
P,21-06-2011,17.4,993,0.6,1
L,22-07-2011,20.6,1695,0.9,1
WC,25-07-2011,22.6,914,0.5,1
K,12-08-2011,22.1,1003,0.5,1
B,15-08-2011,21.8,614,0.3,1
P,16-08-2011,21.9,1212,0.6,1
C,17-08-2011,21.7,1103,0.6,1
K,29-07-2011,21.8,1031,0.5,1
WC,08-08-2011,21.7,921,0.5,1
WW,08-08-2011,21.7,919,0.5,1
D,10-08-2011,21,413.4,0.2,1
WW,22-08-2011,20.3,545,0.3,1
D,24-08-2011,20.1,403.1,0.2,1
K,26-08-2011,20.8,989,0.5,1
B,29-08-2011,20.6,616,0.3,1
P,30-08-2011,21,1305,0.7,1
C,31-08-2011,21.5,1090,0.6,1
L,02-09-2011,19.4,1670,1,1
WW,07-09-2011,19,528,0.3,1
P,08-09-2011,19.8,1305,0.7,1
WC,20-09-2011,14.7,498,0.3,1
WW,20-09-2011,14.6,493,0.3,1
P,22-09-2011,15.8,1300,0.8,1
WC,01-05-2012,9.6,833,0.6,1
WW,19-05-2009,10,352.7,0.2,1
WC,19-05-2009,10.1,370.7,0.3,1
WW,15-06-2009,18.3,493,0.3,1
WC,15-06-2009,18.6,510,0.3,1
B,31-08-2009,19.2,414.2,0.2,1
P,01-09-2009,19.3,1061,0.6,1
C,02-09-2009,19.8,1471,0.8,1
L,04-09-2009,19,1861,1.1,1
B,11-05-2009,9.8,312.8,0.2,1
P,12-05-2009,9.6,894,0.6,1
C,14-05-2009,7.9,1076,0.8,1
L,15-05-2009,4.1,1236,1.1,1
K,13-08-2010,22.6,1357,0.7,1
WC,23-08-2010,19.4,1111,0.6,1
WW,23-08-2010,19.6,1099,0.6,1
D,24-08-2010,18.8,413.1,0.2,1
WC,05-05-2014,8.7,764,0.55,1
WW,05-05-2014,8.7,763,0.55,1
B,12-05-2014,6.7,327.8,0.24,1
P,13-05-2014,6.9,772,0.59,1
C,14-05-2014,6.8,888,0.68,1
K,22-05-2009,6.2,1021,0.8,1
D,15-07-2009,14.3,351.9,0.2,1
B,20-07-2009,19.5,418.9,0.2,1
WC,27-07-2009,19.1,1063,0.6,1
C,22-07-2009,21.3,1449,0.8,1
WW,10-08-2009,20.1,620,0.3,1
D,12-08-2009,18.8,383.4,0.2,1
WC,04-05-2009,9.3,488.1,0.2,1
WW,04-05-2009,9.2,346.5,0.2,1
D,06-05-2009,3.1,256.4,0.2,1
WW,17-05-2010,14.9,757,0.5,1
WC,17-05-2010,15.5,762,0.5,1
WW,14-06-2010,17.5,996,0.6,1
WC,14-06-2010,16.9,985,0.6,1
B,21-06-2010,20.1,440,0.2,1
P,22-06-2010,18.6,984,0.6,1
C,23-06-2010,19.6,1442,0.8,1
L,25-06-2010,18.4,1742,1,1
K,02-07-2010,20.9,1415,0.8,1
L,13-05-2011,5.9,1237,1,1
K,20-05-2011,10.4,933,0.6,1
WC,13-06-2011,18.1,1042,0.6,1
WW,13-06-2011,18.3,1055,0.6,1
K,03-06-2011,10.7,919,0.6,1
L,19-08-2011,20.4,1700,1,1
WC,22-08-2011,21,552,0.3,1
WW,25-07-2011,22.6,914,0.5,1
D,27-07-2011,19.8,407.4,0.2,1
WC,07-09-2011,19.3,535,0.3,1
WW,01-05-2012,9.1,808,0.6,1
D,02-05-2012,5.2,277.1,0.2,1
K,04-05-2012,5.5,875,0.7,1
B,07-05-2012,9.8,453.8,0.3,1
P,08-05-2012,8.9,1140,0.9,1
C,09-05-2012,8.2,883,0.7,1
L,11-05-2012,8,1309,1,1
WC,14-05-2012,13.6,1187,0.8,1
WW,14-05-2012,14.6,1260,0.8,1
D,16-05-2012,8.4,310.9,0.2,1
K,18-05-2012,9.9,1012,0.7,1
B,22-05-2012,15.2,532,0.3,1
P,23-05-2012,13.5,1302,0.9,1
WC,11-06-2012,16.7,1283,0.8,1
WW,11-06-2012,16.6,1260,0.8,1
D,13-06-2012,13.9,353.5,0.2,1
K,15-06-2012,15.3,1203,0.7,1
B,18-06-2012,17.3,561,0.3,1
P,19-06-2012,16.3,1326,0.8,1
C,20-06-2012,16.6,1189,0.7,1
L,22-06-2012,16,1563,1,1
C,24-05-2012,12.1,1024,0.7,1
L,25-05-2012,10.7,1388,1,1
WW,28-05-2012,12.1,1248,0.8,1
K,01-06-2012,13.5,1108,0.7,1
B,04-06-2012,16.2,540,0.3,1
P,05-06-2012,14.3,1309,0.8,1
C,06-06-2012,14.1,1101,0.7,1
L,08-06-2012,14.7,1535,1,1
WC,25-06-2012,19.5,1416,0.8,1
WW,25-06-2012,19.6,1424,0.8,1
B,28-06-2012,19.5,591,0.3,1
K,29-06-2012,18.3,1312,0.8,1
P,04-07-2012,21,1491,0.8,1
C,05-07-2012,21.4,1346,0.7,1
L,06-07-2012,19.8,1728,1,1
WC,09-07-2012,23.6,1532,0.8,1
WW,09-07-2012,23.8,1537,0.8,1
D,11-07-2012,19.6,422.8,0.2,1
K,13-07-2012,25,1554,0.8,1
B,16-07-2012,23.1,630,0.3,1
P,17-07-2012,22.1,,0.8,1
K,27-07-2012,22.9,1473,0.8,1
D,30-07-2012,21.9,425.2,0.2,1
P,31-07-2012,23.8,1562,0.8,1
C,01-08-2012,24.1,1443,0.7,1
L,03-08-2012,22.3,1808,1,1
WC,07-08-2012,23.2,1463,0.8,1
WW,07-08-2012,23.2,1451,0.8,1
D,08-08-2012,22.4,437.7,0.2,1
K,10-08-2012,22,1452,0.8,1
B,13-08-2012,22.1,602,0.3,1
P,14-08-2012,21.9,1504,0.8,1
C,15-08-2012,21,1367,0.7,1
L,17-08-2012,21,1773,1,1
WW,20-08-2012,21,1392,0.8,1
WC,20-08-2012,21,1394,0.8,1
D,22-08-2012,20.9,424.8,0.2,1
K,24-08-2012,21.7,1427,0.8,1
WC,13-05-2013,13.1,492,0.3,1
D,15-05-2013,4.4,220.5,0.2,1
WC,28-05-2012,12.4,1246,0.8,1
D,30-05-2012,10.3,328.8,0.2,1
C,18-07-2012,21.2,1349,0.7,1
L,20-07-2012,22.2,1810,1,1
WC,23-07-2012,24.1,1533,0.8,1
WW,23-07-2012,24,1528,0.8,1
B,25-07-2012,23.6,629,0.3,1
B,27-08-2012,18.7,554,0.3,1
C,29-08-2012,20.9,1364,0.7,1
L,31-08-2012,19.6,1736,1,1
WW,13-05-2013,13.7,504,0.3,1
K,17-05-2013,5.6,976,0.8,1
B,21-05-2013,11.9,402.3,0.3,1
P,22-05-2013,15.1,711,0.4,1
C,23-05-2013,10.8,1005,0.7,1
WW,27-05-2013,15.6,709,0.4,1
WC,27-05-2013,15.7,708,0.4,1
D,29-05-2013,9.1,302.7,0.2,1
B,03-06-2013,16,469,0.3,1
P,04-06-2013,15.7,680,0.4,1
C,05-06-2013,14.7,1176,0.7,1
L,07-06-2013,12.4,1416,1,1
WC,10-06-2013,17,797,0.5,1
WW,10-06-2013,17.5,813,0.5,1
D,12-06-2013,11.2,335,0.2,1
K,14-06-2013,15.5,1239,0.8,1
B,17-06-2013,17.4,499,0.3,1
P,18-06-2013,17.5,853,0.5,1
C,19-06-2013,18.4,1327,0.8,1
L,21-06-2013,15,1507,1,1
WW,24-06-2013,19.8,891,0.5,1
WC,24-06-2013,19.7,891,0.5,1
D,26-06-2013,16.1,,0.2,1
K,28-06-2013,19.3,1305,0.7,1
WC,08-07-2013,23.3,1043,0.5,1
WW,08-07-2013,23.5,1048,0.5,1
D,10-07-2013,21.2,409.3,0.2,1
K,12-07-2013,23.1,1388,0.7,1
B,15-07-2013,21.1,559,0.3,1
C,28-05-2014,14.9,1151,0.72,1
L,30-05-2014,10.1,1375,0.98,1
L,19-07-2013,20.3,1665,0.9,1
WW,22-07-2013,21,1113,0.6,1
WC,22-07-2013,21.1,1110,0.6,1
D,24-07-2013,20.1,383.6,0.2,1
K,26-07-2013,20.1,1275,0.7,1
B,29-07-2013,19.2,522,0.3,1
P,30-07-2013,20,1109,0.6,1
B,09-06-2014,16.9,428.1,0.25,1
C,11-06-2014,14.9,1189,0.75,1
WC,06-08-2013,20.7,883,0.5,1
WW,06-08-2013,20.5,883,0.5,1
D,07-08-2013,19.3,377.6,0.2,1
K,09-08-2013,19.5,1217,0.7,1
B,12-08-2013,20.5,535,0.3,1
P,13-08-2013,19.8,1160,0.6,1
C,14-08-2013,20,1341,0.7,1
L,16-08-2013,20.1,1668,0.9,1
WC,19-08-2013,22.4,949,0.5,1
WW,19-08-2013,22.6,952,0.5,1
D,21-08-2013,21.2,379.2,0.2,1
K,23-08-2013,21.2,1248,0.7,1
B,26-08-2013,22.1,545,0.3,1
P,27-08-2013,22.6,1278,0.7,1
C,28-08-2013,24.2,1365,0.7,1
L,30-08-2013,21.2,1701,0.9,1
B,23-06-2014,17.5,452.7,0.26,1
P,24-06-2014,16.5,1294,0.78,1
C,25-06-2014,17.4,1251,0.74,1
L,27-06-2014,15.7,1593,0.99,1
WC,30-06-2014,18.2,1135,0.65,1
WW,30-06-2014,18.3,1162,0.67,1
D,02-07-2014,19.1,410.4,0.22,1
K,04-07-2014,18,1146,0.66,1
P,08-07-2014,20.2,1350,0.75,1
L,11-07-2014,18.3,1686,0.99,1
WC,14-07-2014,21.5,1180,0.63,1
WW,14-07-2014,21.8,1194,0.64,1
D,16-07-2014,20.4,412.4,0.22,1
K,17-07-2014,20.8,1252,0.68,1
B,21-07-2014,21.7,633,0.33,1
B,02-07-2013,24.5,583,0.3,1
P,03-07-2013,23.3,1084,0.6,1
C,04-07-2013,24.2,1519,0.8,1
L,05-07-2013,21.3,1744,1,1
P,16-07-2013,21.4,1116,0.6,1
C,17-07-2013,22.2,1418,0.8,1
C,31-07-2013,20.1,1347,0.7,1
L,02-08-2013,19.6,1650,0.9,1
WW,28-07-2014,21.2,1339,0.73,1
D,30-07-2014,21.1,419,0.22,1
K,01-08-2014,22.5,1320,0.7,1
B,05-08-2014,23.4,682,0.34,1
P,06-08-2014,23.7,1382,0.71,1
C,07-08-2014,22.9,1307,0.68,1
L,08-08-2014,21.6,1793,0.98,1
WC,11-08-2014,22.3,1359,0.72,1
WW,11-08-2014,22.2,1330,0.7,1
D,13-08-2014,21.2,421.8,0.22,1
C,20-08-2014,22.1,1305,0.69,1
L,22-08-2014,21,1788,0.99,1
K,15-08-2014,22.6,1311,0.69,1
B,18-08-2014,23,737,0.37,1
P,19-08-2014,22.8,1458,0.77,1
L,16-05-2014,4.3,1009,0.84,1
WC,20-05-2014,12,968,0.65,1
WW,20-05-2014,11.9,968,0.65,1
D,21-05-2014,5.8,279.2,0.21,1
K,23-05-2014,8.7,967,0.71,1
B,26-05-2014,16.3,403.5,0.23,1
P,27-05-2014,15.2,982,0.61,1
WC,02-06-2014,16.7,1133,0.68,1
WW,02-06-2014,16.7,1142,0.68,1
D,04-06-2014,12.5,337.7,0.22,1
K,06-06-2014,13,1049,0.69,1
L,13-06-2014,13.9,1545,1.01,1
WC,16-06-2014,16.2,1246,0.76,1
WW,16-06-2014,16.3,1246,0.76,1
D,18-06-2014,12.5,350,0.22,1
K,20-06-2014,14.4,1095,0.69,1
B,07-07-2014,21.1,519,0.27,1
P,22-07-2014,21,1164,0.63,1
C,23-07-2014,20.9,1181,0.64,1
L,25-07-2014,20.1,1746,0.98,1
WC,28-07-2014,21.5,1341,0.72,1
