constant,value
a0,0.0080
a1,-0.1692
a2,25.3851
a3,14.0941
a4,-7.0261
a5,2.7081
b0,0.0005
b1,-0.0056
b2,-0.0066
b3,-0.0375
b4,0.0636
b5,-0.0144
k,0.0162
c0,0.6766097
c1,2.00564E-02
c2,1.104259E-04
c3,-6.9698E-07
c4,1.0031E-09
d1,3.426E-02
d2,4.464E-04
d3,4.215E-01
d4,-3.107E-03
e1,2.070E-04
e2,-6.370E-08
e3,3.989E-12
