Lake,Abbreviation,Elevation_m
Buffalo Pound,B,509.3
Crooked,C,451.7
Diefenbaker,D,552
Echo,E,479
Katepwa,K,478.2
Last Mountain,L,490.1
Mission,M,479
Pasqua,P,479
Round,R,443
"Wascana Centre (West Basin, centre)",WC,570.5
"Wascana (West Basin, near Willow Island))",WW,570.5
