YEAR,LAKE,Date,Date2,DOY,pH_surface,SRP_ug_L,TDP_ug_L,TDN_ug_L,RunNo,NO2_ug_L,NH4_ug_L,DOC_mg_L,TIC_mg_L,SO4_mg_L,Si_mg_L,NO3_ug_L
2007,K,24-Jan-07,2007-01-24,24,8.4,,,,,,,12.37,44.75,,,
2007,K,17-Feb-07,2007-02-17,48,8.4,,,,,,,10.64,47.91,,,
2007,K,04-May-07,2007-05-04,124,8.2,113,140,1520,,,0.2,14.82,42.94,423.6,0.6,847
2007,K,18-May-07,2007-05-18,138,8.8,96,116,1300,,,0.2,13.88,43.42,431.99,0.1,592
2007,K,01-Jun-07,2007-06-01,152,8.8,98,120,1240,,,16,11.53,43.71,429.15,0.15,658
2007,K,15-Jun-07,2007-06-15,166,9.1,106,124,1220,,,0.2,14.84,44.19,430,0.63,520
2007,K,29-Jun-07,2007-06-29,180,8.5,132,153,1370,,,0.2,14.93,43.99,428.8,0.62,670
2007,K,13-Jul-07,2007-07-13,194,8.9,140,166,1260,,,0.2,14.1,44.33,435.98,0.77,604
2007,K,27-Jul-07,2007-07-27,208,9.2,113,137,1180,,,0.2,11.44,45.14,440.41,0.35,534
2007,K,10-Aug-07,2007-08-10,222,9,68,88,934,,,0.2,11.92,42.72,447.02,0.9,294
2007,K,23-Aug-07,2007-08-23,235,9,89,104,1020,,,0.2,12.07,43.16,449.1,1.05,442
2007,K,24-Sep-07,2007-09-24,267,8.7,155,167,1330,,,0.2,11.12,44.97,454.85,1.25,717
2007,K,10-Oct-07,2007-10-10,283,8.8,172,190,1550,,,0.2,12.2,43.55,464.04,1.28,873
2007,K,22-Oct-07,2007-10-22,295,8.6,178,211,1580,,,0.2,12.22,43.72,458.34,1.25,913
2007,K,07-Nov-07,2007-11-07,311,8.9,152,172,1510,,,0.2,15.39,44.81,454.67,0.36,691
2008,K,09-May-08,2008-05-09,130,8.7,134,175,1650,,,0.2,20.17,48.47,,0,855
2008,K,23-May-08,2008-05-23,144,8.9,97,113,1350,,,0.2,15.24,48.5,,0,526
2008,K,06-Jun-08,2008-06-06,158,9.2,81,110,1090,,,6,13.95,48.47,,0,254
2008,K,20-Jun-08,2008-06-20,172,9.1,106,122,1160,,,0.2,13.8,49.66,,0,367
2008,K,05-Jul-08,2008-07-05,187,9.3,115,149,1190,,,4,14.56,49.65,,0,375
2008,K,18-Jul-08,2008-07-18,200,9.2,124,159,1390,,,7,16.73,50.4,,0,488
2008,K,01-Aug-08,2008-08-01,214,9.1,152,199,1510,,,13,18.61,49.88,,0,668
2008,K,15-Aug-08,2008-08-15,228,9.3,79,118,1480,,,11,14.67,48.46,,0,535
2008,K,29-Aug-08,2008-08-29,242,9.2,121,156,1520,,,500,16.53,47.93,,0,76
2008,K,17-Sep-08,2008-09-17,261,9.1,156,206,1780,,,731,20.91,48.35,,0,64
2008,K,31-Oct-08,2008-10-31,305,8.6,169,205,2100,,,670,16.39,49.74,,0,411
2009,K,08-May-09,2009-05-08,128,8.7,90,135,1680,,,0.2,12.37,60.16,,0,791
2009,K,22-May-09,2009-05-22,142,9,92,148,1480,,,0.2,18.49,60.23,,0,591
2009,K,05-Jun-09,2009-06-05,156,9,71,143,1480,,,0.2,17.05,61.73,,0,603
2009,K,19-Jun-09,2009-06-19,170,9.6,65,123,1260,,,0.2,16.19,61.13,,0,351
2009,K,03-Jul-09,2009-07-03,184,10.2,73,129,1270,,,0.2,21.28,59.43,,0,338
2009,K,17-Jul-09,2009-07-17,198,10.6,118,177,1380,,,0.2,18.13,60.75,,0,461
2009,K,31-Jul-09,2009-07-31,212,10.3,105,175,1340,,,0.2,20.39,60.11,,0,372
2009,K,14-Aug-09,2009-08-14,226,10.2,110,204,1490,,,0.2,18.53,61.93,,0,553
2009,K,28-Aug-09,2009-08-28,240,,153,237,1760,,,476,15.46,59.07,,0,240
2010,K,07-May-10,2010-05-07,127,8.6,80,140,1570,,,0.2,32.28,44.73,,0,672
2010,K,21-May-10,2010-05-21,141,9.1,43,106,1230,,,3,33.59,45,,0,309
2010,K,04-Jun-10,2010-06-04,155,8.9,64,122,1290,,,0.2,33.77,45.57,,0,397
2010,K,18-Jun-10,2010-06-18,169,9.2,57,118,1260,,,7,37.16,45.31,,0,348
2010,K,02-Jul-10,2010-07-02,183,9.3,78,145,1440,,,0.2,28.76,42.79,,0,404
2010,K,16-Jul-10,2010-07-16,197,9.7,86,164,1430,,,0.2,29.43,44.03,,0,425
2010,K,30-Jul-10,2010-07-30,211,10.1,57,124,1260,,,8,24.02,41.39,,0,321
2010,K,13-Aug-10,2010-08-13,225,10.4,38,99,1150,,,0.2,25.95,38.12,,0,145
2010,K,27-Aug-10,2010-08-27,239,8.9,125,207,1790,,,563,26.55,43.35,,0,285
2011,K,20-May-11,2011-05-20,140,8.8,113,122,1550,,,0.2,8.56,50.53,,0,917
2011,K,03-Jun-11,2011-06-03,154,8.7,112,114,1360,,,0.2,8.57,51.35,,0,759
2011,K,17-Jun-11,2011-06-17,168,9,109,104,1360,,,0.2,6.49,49.29,,0,232
2011,K,30-Jun-11,2011-06-30,181,8.3,151,146,1430,,,0.2,8.98,47.54,,0,823
2011,K,15-Jul-11,2011-07-15,196,9.9,202,193,1270,,,0.2,10.97,48.8,,0,566
2011,K,29-Jul-11,2011-07-29,210,8.8,205,212,1180,,,0.2,7.19,50.42,,0,289
2011,K,12-Aug-11,2011-08-12,224,8.9,294,319,1470,,,0.2,7.97,48.96,,0,716
2011,K,26-Aug-11,2011-08-26,238,8.8,293,302,1390,,,0.2,14.2,47.98,,0,514
2012,K,04-May-12,2012-05-04,125,8.6,318,314,1680,,,0.2,4.3,64.76,,0,717
2012,K,18-May-12,2012-05-18,139,8.7,288,295,1590,,,0.2,12.76,64.71,,0,555
2012,K,01-Jun-12,2012-06-01,153,8.9,263,266,1340,,,0.2,6.41,66.66,,0,367
2012,K,15-Jun-12,2012-06-15,167,8.6,228,270,1510,,,0.2,3.9,66.96,,0,543
2012,K,29-Jun-12,2012-06-29,181,8.52,268,275,1590,,,0.2,11.25,69.32,,0,640
2012,K,13-Jul-12,2012-07-13,195,8.66,230,241,1360,,,0.2,6.96,68.61,,0,420
2012,K,27-Jul-12,2012-07-27,209,8.93,231,250,1340,,,0.2,7.35,66.69,,0,453
2012,K,10-Aug-12,2012-08-10,223,8.19,306,307,1640,,,578,3.78,62.95,,0,61
2012,K,24-Aug-12,2012-08-24,237,8.67,229,236,1400,,,17,4.58,62.73,,0,294
2013,K,17-May-13,2013-05-17,137,10.07,274,287,2100,,,0.3,,,,0,1040
2013,K,14-Jun-13,2013-06-14,165,9.16,96,110,1100,,,0.3,,,,0,200
2013,K,28-Jun-13,2013-06-28,179,9.4,202,222,1630,,,0.3,,,,0,798
2013,K,12-Jul-13,2013-07-12,193,10.39,212,223,1780,,,0.3,,,,0,873
2013,K,26-Jul-13,2013-07-26,207,9.2,164,180,1370,,,0.3,,,,0,346
2013,K,09-Aug-13,2013-08-09,221,9.4,110,126,1140,,,36,,,,0,72
2013,K,23-Aug-13,2013-08-23,235,9.1,106,127,1170,,,14,,,,0,147
2014,K,23-May-14,2014-05-23,143,9,162,176,1560,,,0.3,,,,0,719
2014,K,06-Jun-14,2014-06-06,157,9.1,113,139,1220,,,0.3,,,,0,380
2014,K,20-Jun-14,2014-06-20,171,9.2,129,155,1330,,,0.3,,,,0,562
2014,K,04-Jul-14,2014-07-04,185,9.2,207,224,1620,,,0.3,,,,0,730
2014,K,17-Jul-14,2014-07-17,198,8.9,148,170,1390,,,0.3,,,,0,489
2014,K,01-Aug-14,2014-08-01,213,9.2,241,271,1840,,,546,,,,0,423
2014,K,15-Aug-14,2014-08-15,227,9.4,184,199,1730,,,491,,,,0,183
1994,L,26-Jun-94,1994-06-26,177,9.75,273,,516,,,,14.76,,,,
1994,L,11-Jul-94,1994-07-11,192,8.99,98,,482,,,,9.27,,,,
1994,L,29-Jul-94,1994-07-29,210,9.9,,,,,,,,,,,
1994,L,28-Aug-94,1994-08-28,240,,,,,,,,,,,,
1995,L,12-May-95,1995-05-12,132,8.36,30,,,,,0,11,,,,0
1995,L,25-May-95,1995-05-25,145,8.29,30,,,,,20,12,,,,0
1995,L,05-Jun-95,1995-06-05,156,8.66,30,,,,,0,9.5,,,,480
1995,L,19-Jun-95,1995-06-19,170,8.7,30,,,,,70,8,,,,210
1995,L,04-Jul-95,1995-07-04,185,8.5,240,,,,,150,18,,,,0
1995,L,18-Jul-95,1995-07-18,199,8.67,20,,,,,200,10,,,,0
1995,L,31-Jul-95,1995-07-31,212,8.65,60,,,,,290,12,,,,0
1995,L,22-Aug-95,1995-08-22,234,8.67,50,,,,,0,8.9,,,,520
1996,L,08-May-96,1996-05-08,129,8,22,,,,,114,15.3,,,,195
1996,L,23-May-96,1996-05-23,144,8,32,,,,,60,13.66,,,,195
1996,L,03-Jun-96,1996-06-03,155,8.3,10,,,,,12,9.91,,,,11
1996,L,25-Jun-96,1996-06-25,177,8.83,6,,,,,12,43.81,,,,11
1996,L,09-Jul-96,1996-07-09,191,8.77,16,,,,,48,12.89,,,,11
1996,L,22-Jul-96,1996-07-22,204,8.38,25,,,,,84,22.27,,,,173
1996,L,08-Aug-96,1996-08-08,221,8,10,,,,,42,10.64,,,,4
1996,L,20-Aug-96,1996-08-20,233,8.5,10,,,,,6,13.25,,,,11
1997,L,16-May-97,1997-05-16,136,8.2,23,,,,,8,6.99,,,,13
1997,L,04-Jun-97,1997-06-04,155,7.9,7,,,,,8,4.4,,,,2
1997,L,16-Jun-97,1997-06-16,167,8.93,13,,,,,8,4.38,,,,13
1997,L,04-Jul-97,1997-07-04,185,8.34,10,,,,,20,7.02,,,,15
1997,L,17-Jul-97,1997-07-17,198,8.23,20,,,,,8,6.99,,,,5
1997,L,02-Aug-97,1997-08-02,214,8.28,14,,,,,60,8.32,,,,8
1997,L,12-Aug-97,1997-08-12,224,8.7,7,,,,,8,7.71,,,,3
1997,L,27-Aug-97,1997-08-27,239,8.3,7,,,,,8,10.26,,,,3
1998,L,12-May-98,1998-05-12,132,9.1,5,30,700,,,24,14.77,60.24,,,20
1998,L,27-May-98,1998-05-27,147,9.3,5,20,800,,,42,10.04,31.03,,,20
1998,L,18-Jun-98,1998-06-18,169,9.3,5,470,600,,,18,13.36,54.01,,,5
1998,L,26-Jun-98,1998-06-26,177,9.3,2.5,20,600,,,24,12.01,45.42,,,5
1998,L,10-Jul-98,1998-07-10,191,9.5,2.5,20,800,,,3,8.58,34.02,,,5
1998,L,27-Jul-98,1998-07-27,208,9.6,2.5,20,550,,,12,14.31,58.58,,,5
1998,L,12-Aug-98,1998-08-12,224,9.1,2.5,25,750,,,48,15.18,57.51,,,5
1998,L,30-Aug-98,1998-08-30,242,9.8,2.5,35,1200,,,42,16.84,55.65,,,5
1999,L,06-May-99,1999-05-06,126,8.9,20,,1090,,,87,11.8,51.32,,,14
1999,L,20-May-99,1999-05-20,140,8.4,10,,675,,,4,10.71,45.36,,,7
1999,L,07-Jun-99,1999-06-07,158,8.4,0.1,,790,,,2,10.39,52.07,,,0
1999,L,21-Jun-99,1999-06-21,172,7.3,0.1,,710,,,18,10.23,52.02,,,0
1999,L,08-Jul-99,1999-07-08,189,9.1,0.1,,1240,,,2,10.43,56.19,,,0
1999,L,21-Jul-99,1999-07-21,202,9.3,0.1,,640,,,3,9.74,51.49,,,0
1999,L,11-Aug-99,1999-08-11,223,8.6,540,,790,,,47,10.19,53.18,,,4
1999,L,27-Aug-99,1999-08-27,239,9.1,10,,675,,,3,10.97,42.56,,,21
2000,L,09-May-00,2000-05-09,130,8.1,22,,,,,0,9.73,59.13,,,80
2000,L,25-May-00,2000-05-25,146,8.25,,,,,,61,9.04,65.73,,,88
2000,L,07-Jun-00,2000-06-07,159,8.6,31,,,,,1,7.94,65.45,,,80
2000,L,23-Jun-00,2000-06-23,175,8.3,7,,,,,0,8.01,64.67,,,86
2000,L,05-Jul-00,2000-07-05,187,8.26,31,,,,,6,8.07,63.01,,,85
2000,L,20-Jul-00,2000-07-20,202,8.23,32,,,,,30,9.49,65.33,,,83
2000,L,02-Aug-00,2000-08-02,215,,37,,,,,0,10.3,64.01,,,86
2000,L,21-Aug-00,2000-08-21,234,,22,,,,,13,10.08,67.11,,,84
2001,L,14-May-01,2001-05-14,134,9.07,,16.9,898.5,42,,0,8.25,50.84,,,1.7
2001,L,30-May-01,2001-05-30,150,8.79,,14,877.6,28,,12.4,9,84.77,,,1.7
2001,L,12-Jun-01,2001-06-12,163,8.69,,,,10,,,14.13,82.33,,,
2001,L,21-Jun-01,2001-06-21,172,8.71,,19,1015.5,30,,20.2,11.63,81.99,,,1.7
2001,L,10-Jul-01,2001-07-10,191,8.77,,20,897.7,31,,0,41.64,84.06,,,1.7
2001,L,26-Jul-01,2001-07-26,207,7.38,,49.5,998.8,29,,0,12.94,79.6,,,298.5
2001,L,07-Aug-01,2001-08-07,219,9.05,,50.4,1303.3,25,,0,13.53,80.13,,,47
2001,L,20-Aug-01,2001-08-20,232,9.11,,271.1,1117.9,13,,163,13.44,80.7,,,1.7
2002,L,17-May-02,2002-05-17,137,8.79,,22,1131.8,31,,41,14.69,,,,10
2002,L,31-May-02,2002-05-31,151,7.89,,57,1509.9,33,,36,14.52,,,,16
2002,L,12-Jun-02,2002-06-12,163,8.44,,25,1069.2,14,,24,28.02,,,,15
2002,L,28-Jun-02,2002-06-28,179,8.66,,21,1087.2,6,,14,12.62,,,,10
2002,L,12-Jul-02,2002-07-12,193,9,,22,1061.8,7,,17,10.88,,,,8
2002,L,25-Jul-02,2002-07-25,206,8.6,,56,1104,2,,22,21.46,,,,23
2002,L,14-Aug-02,2002-08-14,226,8.88,,72,1130.8,48,,35,12.94,,,,19
2002,L,26-Aug-02,2002-08-26,238,8.88,,58,1091,43,,12,14.75,,,,21
2003,L,20-May-03,2003-05-20,140,8.38,,30,977.8,,,23,11.74,61.76,707.09,,5
2003,L,30-May-03,2003-05-30,150,9.03,,33,991.6,,,0,16.73,64.47,715.47,,0
2003,L,17-Jun-03,2003-06-17,168,8.99,,47,1057.4,,,0,12.36,,799.44,,0
2003,L,02-Jul-03,2003-07-02,183,8.78,,30,999.5,,,0,11.7,62.58,720.82,,0
2003,L,11-Jul-03,2003-07-11,192,8.74,,70,970.5,,,0,11.17,63.64,717.46,,0
2003,L,28-Jul-03,2003-07-28,209,9.08,,25,1089.9,,,0,11.82,61.68,732.27,,25
2003,L,08-Aug-03,2003-08-08,220,9.31,,64,999.3,,,0,11.62,65.47,734.48,,37
2003,L,22-Aug-03,2003-08-22,234,9.27,,74,937.7,,,10,11.88,62.09,717.59,,5
2004,L,10-May-04,2004-05-10,131,8.9,24.7,44.6,1321.02,,0.2,169.67,17.47,66.68,,,91.64
2004,L,25-May-04,2004-05-25,146,8.9,11.4,29.2,1014.65,,0.13,40.73,17.62,66.08,,,3.03
2004,L,07-Jun-04,2004-06-07,159,8.7,5.9,23.2,942.98,,0.11,21.3,15.75,62.54,,,0
2004,L,21-Jun-04,2004-06-21,173,8.9,6.4,19.9,969.49,,,27.19,12.3,,,,
2004,L,05-Jul-04,2004-07-05,187,8.9,9.8,27.8,951.28,,31.87,12.95,13.26,,,,41.4
2004,L,19-Jul-04,2004-07-19,201,8.7,6,25.3,1113.78,,,20.3,12.83,,,,
2004,L,30-Jul-04,2004-07-30,212,8.6,14.6,31.4,976.09,,0.82,25.17,12.23,,,,4.25
2004,L,19-Aug-04,2004-08-19,232,8.7,32.3,169.8,840,,,13.1,,,,,127
2005,L,16-May-05,2005-05-16,136,9.1,11.2,22.2,970,,,32.8,14.16,57.34,,,18.9
2005,L,30-May-05,2005-05-30,150,9.1,8.5,19.9,846.01,,,34.7,14.43,53.45,,,7.99
2005,L,10-Jun-05,2005-06-10,161,9.1,7,17.7,991.93,,,27.3,13.54,56.96,,,8.07
2005,L,24-Jun-05,2005-06-24,175,9.2,14.6,22.8,893.19,,,33.3,13.93,56.32,,,9.81
2005,L,08-Jul-05,2005-07-08,189,9.1,12.5,26.1,908.42,,,23.7,13.64,54.86,,,5.58
2005,L,21-Jul-05,2005-07-21,202,9.1,20,33.3,869.52,,,27.3,13.55,55.85,,,6.48
2005,L,08-Aug-05,2005-08-08,220,9.4,16,31.1,879.52,,,35.2,14.5,52.98,,,8.48
2005,L,19-Aug-05,2005-08-19,231,9.3,21.9,32.4,1232.5,,,83.6,14.9,55.47,,,27.5
2006,L,12-May-06,2006-05-12,132,9.1,5.35,24.19,963.57,74810,,44,28.6,54.21,,,2.43
2006,L,26-May-06,2006-05-26,146,9.3,5.45,21.56,951.76,74818,,41.2,28.64,52.91,,,5.24
2006,L,12-Jun-06,2006-06-12,163,9.3,14.33,32.41,943,74829,,56.9,21.93,51.78,,,17
2006,L,23-Jun-06,2006-06-23,174,9.3,10.65,28.69,958,74835,,50.3,15.6,52,,,4
2006,L,07-Jul-06,2006-07-07,188,9.4,10.59,30.39,985.83,74843,,38.3,19.92,53.49,,,1.17
2006,L,21-Jul-06,2006-07-21,202,9.7,8.2,27.55,992.76,74851,,34,29.87,53.21,,,7.24
2006,L,04-Aug-06,2006-08-04,216,9.7,27.59,46.59,1004.65,74859,,75.2,15.05,51.57,,,5.35
2006,L,18-Aug-06,2006-08-18,230,9.8,62.88,83.05,1101.68,74867,,141,16.4,51.68,,,8.32
2006,L,31-Aug-06,2006-08-31,243,10,40.11,66.69,1037.6,74875,,94,27.93,53.53,,,12.4
2007,L,11-May-07,2007-05-11,131,8.7,5,20,1040,,,0.2,18.04,53.54,731.39,2.66,187
2007,L,25-May-07,2007-05-25,145,8.6,8,19,960,,,0.2,17.14,53.42,724.03,2.04,100
2007,L,08-Jun-07,2007-06-08,159,8.8,4,17,905,,,0.2,16.24,50.77,709.15,1.05,107
2007,L,22-Jun-07,2007-06-22,173,8.7,9,23,925,,,0.2,16.35,52.48,706.92,1.2,104
2007,L,10-Jul-07,2007-07-10,191,8.5,15,27,892,,,0.2,16.79,50.86,699.33,0.81,117
2007,L,20-Jul-07,2007-07-20,201,8.7,19,26,918,,,0.2,,,698.13,1.8,182
2007,L,03-Aug-07,2007-08-03,215,8.9,23,31,1030,,,0.2,16.11,51.73,683.08,2.5,269
2007,L,17-Aug-07,2007-08-17,229,8.8,34,45,980,,,0.2,15.74,52.13,703.26,3.6,233
2007,L,31-Aug-07,2007-08-31,243,8.9,47,63,1030,,,0.2,16.24,52.44,707.7,4,209
2008,L,16-May-08,2008-05-16,137,8.3,14,22.9,1180,,,9,15.69,57.87,,0,215
2008,L,30-May-08,2008-05-30,151,8.8,7,20.2,936,,,5,15.49,57.22,,0,106
2008,L,13-Jun-08,2008-06-13,165,8.8,9,18.7,1120,,,8,15.84,57.22,,0,110
2008,L,01-Jul-08,2008-07-01,183,8.6,6,17.4,1020,,,6,15.21,56.56,,0,50
2008,L,11-Jul-08,2008-07-11,193,8.4,13,22.3,1080,,,0.2,16,55.81,,0,171
2008,L,25-Jul-08,2008-07-25,207,8.8,13,25.8,1100,,,19,,,,0,68
2008,L,08-Aug-08,2008-08-08,221,9,8,19.6,988,,,43,14.81,56.05,,0,5
2008,L,26-Aug-08,2008-08-26,239,9,35,55.8,1090,,,10,15.4,56.55,,0,111
2008,L,05-Sep-08,2008-09-05,249,9,45,62.4,1430,,,101,14.61,57.74,,0,29
2009,L,15-May-09,2009-05-15,135,8.7,16,36,1160,,,0.2,82.38,7.28,,0,207
2009,L,29-May-09,2009-05-29,149,8.7,7,25,1110,,,0.2,19.29,71.82,,0,146
2009,L,12-Jun-09,2009-06-12,163,9,13,28,986,,,0.2,20.23,68.83,,0,51
2009,L,26-Jun-09,2009-06-26,177,8.7,13,32,970,,,0.2,15.43,58.95,,0,50
2009,L,10-Jul-09,2009-07-10,191,9.2,38,71,1150,,,0.2,18.93,66.98,,0,239
2009,L,24-Jul-09,2009-07-24,205,9.4,0.1,32,970,,,8,19.58,67.79,,0,45
2009,L,07-Aug-09,2009-08-07,219,9.3,29,55,981,,,0.2,18.22,67.59,,0,0.1
2009,L,21-Aug-09,2009-08-21,233,9.2,30,61,1010,,,0.2,78.36,3.35,,0,0.1
2009,L,04-Sep-09,2009-09-04,247,8.9,44,84,996,,,0.2,13.35,69.75,,0,0.1
2010,L,14-May-10,2010-05-14,134,8.3,9,26,1040,,,0.2,35.16,51.4,,0,156
2010,L,28-May-10,2010-05-28,148,9,22,45,1150,,,3,31.4,49.26,,0,265
2010,L,11-Jun-10,2010-06-11,162,9.3,5,16,971,,,0.2,36.48,50.99,,0,104
2010,L,25-Jun-10,2010-06-25,176,9.3,3,15,1020,,,0.2,38.48,50.97,,0,122
2010,L,09-Jul-10,2010-07-09,190,9.5,8,17,970,,,0.2,29.63,47.69,,0,82
2010,L,23-Jul-10,2010-07-23,204,10,13,27,1010,,,14,31.08,47.6,,0,76
2010,L,06-Aug-10,2010-08-06,218,9.8,22,42,1190,,,5,26.69,46.51,,0,246
2010,L,20-Aug-10,2010-08-20,232,10.3,38,54,1180,,,65,34.98,49,,0,82
2010,L,03-Sep-10,2010-09-03,246,8.7,56,71,1320,,,139,31.97,47.77,,0,145
2011,L,13-May-11,2011-05-13,133,8.5,70,75,1350,,,0.2,8.75,61.47,,0,608
2011,L,27-May-11,2011-05-27,147,9.4,35,46,1000,,,0.2,10.25,56.71,,0,212
2011,L,10-Jun-11,2011-06-10,161,8.7,10,25,885,,,0.2,9.07,58.38,,0,43
2011,L,24-Jun-11,2011-06-24,175,8.7,7,18,931,,,0.2,6.72,60.03,,0,133
2011,L,08-Jul-11,2011-07-08,189,9.1,54,51,1010,,,0.2,12.06,57.34,,0,209
2011,L,22-Jul-11,2011-07-22,203,8.7,22,33,876,,,0.2,8.77,59.31,,0,4
2011,L,05-Aug-11,2011-08-05,217,10.1,20,32,876,,,0.2,10.44,58.49,,0,3
2011,L,19-Aug-11,2011-08-19,231,8.8,87,83,1080,,,0.2,4.82,60.01,,0,257
2011,L,02-Sep-11,2011-09-02,245,13.5,76,83,1090,,,0.2,12.16,57.27,,0,221
2012,L,11-May-12,2012-05-11,132,8.6,24,23,1030,,,0.2,2.57,68.93,,0,62
2012,L,25-May-12,2012-05-25,146,8.6,22,22,956,,,0.2,1.6,69.02,,0,86
2012,L,08-Jun-12,2012-06-08,160,8.6,23,24,943,,,0.2,-0.66,70.77,,0,50
2012,L,22-Jun-12,2012-06-22,174,8.62,24,23,996,,,0.2,7.09,68.62,,0,70
2012,L,06-Jul-12,2012-07-06,188,8.57,46,39,1030,,,0.2,8.41,64.15,,0,160
2012,L,20-Jul-12,2012-07-20,202,8.54,56,51,1060,,,0.2,-3.47,76.73,,0,127
2012,L,03-Aug-12,2012-08-03,216,8.97,35,28,1030,,,0.2,14.66,67.76,,0,71
2012,L,17-Aug-12,2012-08-17,230,8.2,103,102,1060,,,53,5.85,64.19,,0,26
2012,L,31-Aug-12,2012-08-31,244,8.23,125,124,1240,,,109,-2.89,67.03,,0,35
2013,L,07-Jun-13,2013-06-07,158,8.82,45,52,974,,,99,,,,0,9
2013,L,21-Jun-13,2013-06-21,172,9.25,45,52,945,,,0.3,,,,0,45
2013,L,05-Jul-13,2013-07-05,186,9.31,22,29,956,,,7,,,,0,11
2013,L,19-Jul-13,2013-07-19,200,10.94,71,80,1010,,,5,,,,0,47
2013,L,02-Aug-13,2013-08-02,214,9.1,73,82,1010,,,0.3,,,,0,16
2013,L,16-Aug-13,2013-08-16,228,8.9,77,88,1010,,,27,,,,0,14
2013,L,30-Aug-13,2013-08-30,242,9.1,82,92,1100,,,66,,,,0,0.1
2014,L,16-May-14,2014-05-16,136,9.1,75,86,1090,,,0.3,,,,0,216
2014,L,30-May-14,2014-05-30,150,7.8,68,81,1060,,,0.3,,,,0,150
2014,L,13-Jun-14,2014-06-13,164,8.7,55,68,967,,,18,,,,0,33
2014,L,27-Jun-14,2014-06-27,178,9.3,90,104,1220,,,0.3,,,,0,389
2014,L,11-Jul-14,2014-07-11,192,8.6,82,96,1140,,,0.3,,,,0,248
2014,L,25-Jul-14,2014-07-25,206,8.7,81,98,1030,,,15,,,,0,54
2014,L,08-Aug-14,2014-08-08,220,8.8,134,147,1230,,,187,,,,0,32
2014,L,22-Aug-14,2014-08-22,234,8.8,145,157,1180,,,176,,,,0,29
1994,M,16-Aug-94,1994-08-16,228,,,,,,,,,,,,
2005,M,22-Jul-05,2005-07-22,203,9.7,99.8,127,852,,,75.2,10.76,41.59,,,27
2006,M,31-May-06,2006-05-31,151,,64.47,90.69,962,74821,,70.9,14.82,43.71,,,158
1994,P,19-Aug-94,1994-08-19,231,,,,,,,,,,,,
2000,P,31-Aug-00,2000-08-31,244,,,,,,,,,,,,
2004,P,13-May-04,2004-05-13,134,8.9,42.4,60.7,770.57,,1.9,4.7,11.39,50.41,,,1071.89
2004,P,28-May-04,2004-05-28,149,8.7,63.3,83.5,842.87,,1.12,5.39,10.55,50,,,928.59
2004,P,09-Jun-04,2004-06-09,161,8.7,96.5,114.7,871.47,,1.44,5.96,10.7,48.35,,,947.27
2004,P,24-Jun-04,2004-06-24,176,8.7,142.4,156.4,850.5,,5.18,2.91,9.93,,,,1099.48
2004,P,08-Jul-04,2004-07-08,190,8.7,166.3,180.1,1077.64,,0.3,1.7,10.8,,,,1004.71
2004,P,22-Jul-04,2004-07-22,204,8.7,183.9,210.9,762.05,,1.58,2.08,10.78,,,,1031.22
2004,P,06-Aug-04,2004-08-06,219,9.1,71.2,97.4,956.4,,1.25,96.82,10.84,,,,69.51
2004,P,20-Aug-04,2004-08-20,233,8.8,120.9,139.9,734,,,11.3,,,,,259
2004,P,01-Sep-04,2004-09-01,245,9.3,167.4,174.9,659,,,11,,,,,721
2004,P,17-Sep-04,2004-09-17,261,9.1,174.3,189.3,1412.83,,5.61,589.16,10.41,,,,66.28
2005,P,09-May-05,2005-05-09,129,8.8,56,71.9,830,,,14.4,10.5,40.1,,,1130
2005,P,25-May-05,2005-05-25,145,9.2,10.1,25.4,889,,,17.1,10.71,42.7,,,641
2005,P,08-Jun-05,2005-06-08,159,9.1,8,25.3,814,,,19.3,11.72,42.73,,,466
2005,P,21-Jun-05,2005-06-21,172,8.8,64.5,78.8,779,,,23.8,10.82,40.24,,,591
2005,P,07-Jul-05,2005-07-07,188,9.1,113.1,137,823,,,13,11.36,41.03,,,627
2005,P,19-Jul-05,2005-07-19,200,9.2,115.2,129.8,997.9,,,228,11.46,42.71,,,92.1
2005,P,02-Aug-05,2005-08-02,214,9.1,159.6,181.9,1189,,,312,11.42,43.28,,,101
2005,P,16-Aug-05,2005-08-16,228,8.9,205.8,227.2,1229,,,476,11.81,43.21,,,41
2005,P,30-Aug-05,2005-08-30,242,9.5,114.3,133.8,867.9,,,43,11.55,42.45,,,13.1
2005,P,13-Sep-05,2005-09-13,256,9.3,163.2,185.2,1031.9,,,210,11.14,42.31,,,18.1
2005,P,26-Sep-05,2005-09-26,269,9.1,190.4,219.8,1396.8,,,427,11.6,44.41,,,33.2
2006,P,09-May-06,2006-05-09,129,9.1,1.82,24.59,1155,74808,,255,14.23,41.33,,,385
2006,P,24-May-06,2006-05-24,144,9.3,34,53,769,,,14,14.34,43.8,,,114
2006,P,07-Jun-06,2006-06-07,158,9,55.47,78.37,1219,74825,,228,16.03,44.87,,,421
2006,P,21-Jun-06,2006-06-21,172,9.1,0.5,5,171,,,9,15.81,45.32,,,248
2006,P,05-Jul-06,2006-07-05,186,9.3,53.1,79.72,1129,74841,,182,14.86,47.18,,,141
2006,P,18-Jul-06,2006-07-18,199,9.5,91.39,121.75,1052.5,74850,,173,14.99,46.73,,,27.5
2006,P,26-Jul-06,2006-07-26,207,9.8,,,,,,,,,,,
