"lakeName","Year","Month","sampleID","siteID","latitude","longitude","Date","TOD","secchi","sampleDepth","wind","DIC","DOC","Altitude","windMS","conductivity","oxygenConcentration","oxygenPercent","pH","salinity","specificConductivity","TDS","temperature","Day","pco2atm","DICumol","chlvalue","CO2fluxmmolm2d","pCO2uatm"
"Unknown 3",2013,8,14,13,50.649814,-108.971851,2013-08-05,"10:00:00 AM",0,0.05,15,102.918,183.084,700,4.16666666666667,76794,1.5,30.5,8.57,57.83,82278,NA,21.5,5,395.01,8576.5,1112.455,16.388660397849,691.316256856803
"Van Scoy",2013,8,78,77,52.081379,-107.552726,2013-08-21,"",0.9,0.9,10,41.015,32.231,533,2.77777777777778,10145,8.58,111.1,8.81,6.45,11301,NA,19.6,21,395.01,3417.91666666667,1.69,-13.6783395129418,198.868732341978
"Vincent",2013,8,17,16,50.222664,-108.944649,2013-08-05,"",0.1,0.1,0,59.137,53.721,689,0,68235,3.1,57.3,9.42,49.87,72333,NA,22,5,395.01,4928.08333333333,315.85,-70.2063197314444,34.8643345331891
"Wakaw",2013,8,96,94,52.663265,-105.601008,2013-08-06,"4:16:00 PM",1.3,10.3,15,43.911,14.164,510,4.16666666666667,2672,8.3,125,8.84,1.5,NA,1.876,21.12,6,395.01,3659.25,NA,-10.3841867927326,229.547628721984
"Waldsea",2013,8,107,105,52.260211,-105.181378,2013-08-23,"1:00:00 PM",0,19.9,10,79.167,25.874,530,2.77777777777778,14280,7.2,108,9.07,9.28,NA,10.29,19.96,23,395.01,6597.25,NA,-18.7900883847471,187.540444993463
"White Heron",2013,8,62,61,51.891749,-109.046223,2013-08-19,"3:52:00 PM",0.3995,0.8,4,115.868,36.658,650,1.11111111111111,3596,7.26,102.9,9.01,1.88,3581,NA,25.3,19,395.01,9655.66666666667,33.515,5.02875534171926,387.777292217567
"WhiteBear",2013,8,9,8,49.773227,-102.25748,2013-08-01,"8:00:00 AM",1.5,8.5,12,136.217,34.879,736,3.33333333333333,3399,6.23,80.9,9.04,2.03,3824,NA,19.2,1,395.01,11351.4166666667,6.93,5.92392221529618,422.572757744519
"Willow Bunch",2013,8,39,38,49.447147,-105.461306,2013-08-12,"2:00:00 PM",0.19,1.1,10,129.943,16.171,667,2.77777777777778,4431.504,6.96,93,9.16,2.58,4796,NA,21.2,12,395.01,10828.5833333333,12.99,-10.0313119509433,288.135613709377
"Wolverine",2013,8,48,47,52.026726,-105.224675,2013-08-15,"10:40:00 AM",0.46,3.1,20,49.936,17.34,550,5.55555555555556,1479,11.33,147.6,8.96,0.8,1592,NA,21.3,15,395.01,4161.33333333333,39.755,-11.0141592342846,204.76340581501
"X3",2013,8,77,76,51.93777,-107.577721,2013-08-22,"2:00:00 PM",0.58,0.58,11,26.156,45.093,556,3.05555555555556,5192,10.79,140.79,9.75,3.08,5673,NA,20.3,22,395.01,2179.66666666667,5.02,-83.0725644486618,10.440043499097
"X5",2013,8,64,63,52.667951,-110.078509,2013-08-20,"9:45:00 AM",0.21,4.1,9,280.224,73.967,609,2.5,19371,3.18,44.4,9.09,12.62,21021,NA,20.9,20,395.01,23352,21.56,26.7069414561534,597.073699243036
"York",2013,8,57,56,51.156416,-102.480997,2013-08-16,"1:03:00 PM",1.0675,3,30,65.208,23.992,514,8.33333333333333,2047,9.13,122.3,8.97,1.09,2138,NA,22.9,16,395.01,5434,13.49,-6.0004086107478,254.596293066553
