sampleID,depth,variableID,dataValue
Tramping,1,pH,9.14
Manitou,1,temperature,20.7
Manitou,1,oxygenPercent,92
Manitou,1,oxygenConcentration,6.01
Manitou,1,specificConductivity,41995
Manitou,1,conductivity,28527
Manitou,1,salinity,27
Manitou,1,pH,9.57
Reflex,1,temperature,22.4
Reflex,1,oxygenPercent,62.2
Reflex,1,oxygenConcentration,2.53
Reflex,1,specificConductivity,132422
Reflex,1,conductivity,125760
Reflex,1,salinity,102.22
Reflex,1,pH,9.41
Little Manitou,1,temperature,21.5
Little Manitou,1,oxygenPercent,130.8
Little Manitou,1,oxygenConcentration,9.86
Little Manitou,1,specificConductivity,6598
Little Manitou,1,conductivity,6160
Little Manitou,1,salinity,3.62
Little Manitou,1,pH,9.19
Suffern,1,temperature,21.6
Suffern,1,oxygenPercent,73.1
Suffern,1,oxygenConcentration,5.5
Suffern,1,specificConductivity,459.2
Suffern,1,conductivity,429.6
Suffern,1,salinity,0.22
Suffern,1,pH,8.41
Unknown 1,1,temperature,21.6
Unknown 1,1,oxygenPercent,90.2
Unknown 1,1,oxygenConcentration,6.74
Unknown 1,1,specificConductivity,2459
Unknown 1,1,conductivity,2298
Unknown 1,1,salinity,1.27
Unknown 1,1,pH,8.77
Good Spirt,1,temperature,20.1
Good Spirt,1,oxygenPercent,94.3
Good Spirt,1,oxygenConcentration,7.47
Good Spirt,1,specificConductivity,941
Good Spirt,1,conductivity,852
Good Spirt,1,salinity,0.46
Good Spirt,1,pH,8.71
York,1,temperature,22.9
York,1,oxygenPercent,122.3
York,1,oxygenConcentration,9.13
York,1,specificConductivity,2138
York,1,conductivity,2047
York,1,salinity,1.09
York,1,pH,8.97
Shrimp,1,temperature,22.6
Shrimp,1,oxygenPercent,47.3
Shrimp,1,oxygenConcentration,3.38
Shrimp,1,specificConductivity,838
Shrimp,1,conductivity,800
Shrimp,1,salinity,0.41
Shrimp,1,pH,9.04
Springwater,1,temperature,22.3
Springwater,1,oxygenPercent,27.2
Springwater,1,oxygenConcentration,1.9
Springwater,1,specificConductivity,11505
Springwater,1,conductivity,10911
Springwater,1,salinity,6.56
Springwater,1,pH,8.62
Sunny,1,temperature,22.9
Sunny,1,oxygenPercent,97.1
Sunny,1,oxygenConcentration,6.8
Sunny,1,specificConductivity,12487
Sunny,1,conductivity,11976
Sunny,1,salinity,7.17
Sunny,1,pH,8.87
Handsome,1,temperature,18.3
Handsome,1,oxygenPercent,114.8
Handsome,1,oxygenConcentration,8.78
Handsome,1,specificConductivity,4105
Handsome,1,conductivity,3565
Handsome,1,salinity,2.19
Handsome,1,pH,9.02
Cutbank,1,temperature,19.9
Cutbank,1,oxygenPercent,174.2
Cutbank,1,oxygenConcentration,13.05
Cutbank,1,specificConductivity,4506
Cutbank,1,conductivity,4064
Cutbank,1,salinity,2.41
Cutbank,1,pH,9.08
Dewey,1,temperature,18.7
Dewey,1,oxygenPercent,44
Dewey,1,oxygenConcentration,3.26
Dewey,1,specificConductivity,14655
Dewey,1,conductivity,12881
Dewey,1,salinity,8.54
Dewey,1,pH,8.39
Old Wives,1,temperature,18.9
Old Wives,1,oxygenPercent,97.8
Old Wives,1,oxygenConcentration,7.69
Old Wives,1,specificConductivity,2900
Old Wives,1,conductivity,2562
Old Wives,1,salinity,1.51
Old Wives,1,pH,9.3
Lonetree,1,temperature,20.3
Lonetree,1,oxygenPercent,98.4
Lonetree,1,oxygenConcentration,7.47
Lonetree,1,specificConductivity,394.8
Lonetree,1,conductivity,358.8
Lonetree,1,salinity,0.19
Lonetree,1,pH,9.06
Shoe,1,temperature,20.2
Shoe,1,oxygenPercent,72.1
Shoe,1,oxygenConcentration,4.82
Shoe,1,specificConductivity,39423
Shoe,1,conductivity,35506
Shoe,1,salinity,25.19
Shoe,1,pH,8.89
Island,1,temperature,21.6
Island,1,oxygenPercent,71.3
Island,1,oxygenConcentration,5.28
Island,1,specificConductivity,376
Island,1,conductivity,350.8
Island,1,salinity,0.18
Island,1,pH,8.91
Sink,1,temperature,21.1
Sink,1,oxygenPercent,23.6
Sink,1,oxygenConcentration,1.79
Sink,1,specificConductivity,5238
Sink,1,conductivity,1849
Sink,1,salinity,2.83
Sink,1,pH,8.59
Macklin,1,temperature,20.6
Macklin,1,oxygenPercent,59.7
Macklin,1,oxygenConcentration,4.63
Macklin,1,specificConductivity,1587
Macklin,1,conductivity,1453
Macklin,1,salinity,0.8
Macklin,1,pH,8.39
Coldspring,1,temperature,19
Coldspring,1,oxygenPercent,89.2
Coldspring,1,oxygenConcentration,6.93
Coldspring,1,specificConductivity,10336
Coldspring,1,conductivity,9155
Coldspring,1,salinity,5.86
Coldspring,1,pH,8.83
Thackery,1,temperature,19.6
Thackery,1,oxygenPercent,58.2
Thackery,1,oxygenConcentration,4.6
Thackery,1,specificConductivity,2277
Thackery,1,conductivity,2044
Thackery,1,salinity,1.17
Thackery,1,pH,9.43
Richmond,1,temperature,18.1
Richmond,1,oxygenPercent,54.6
Richmond,1,oxygenConcentration,4.17
Richmond,1,specificConductivity,16978
Richmond,1,conductivity,14725
Richmond,1,salinity,10.02
Richmond,1,pH,8.62
Thomson,1,temperature,21
Thomson,1,oxygenPercent,87
Thomson,1,oxygenConcentration,6.56
Thomson,1,specificConductivity,1982
Thomson,1,conductivity,1825
Thomson,1,salinity,1.01
Thomson,1,pH,8.9
Newton,1,temperature,20.7
Newton,1,oxygenPercent,91.6
Newton,1,oxygenConcentration,6.96
Newton,1,specificConductivity,727
Newton,1,conductivity,709
Newton,1,salinity,0.38
Newton,1,pH,8.92
Summercove,1,temperature,20.2
Summercove,1,oxygenPercent,95.9
Summercove,1,oxygenConcentration,7.33
Summercove,1,specificConductivity,1916
Summercove,1,conductivity,1739
Summercove,1,salinity,0.98
Summercove,1,pH,8.99
Fife,1,temperature,20
Fife,1,oxygenPercent,87.5
Fife,1,oxygenConcentration,6.7
Fife,1,specificConductivity,2822
Fife,1,conductivity,2541
Fife,1,salinity,1.47
Fife,1,pH,9.06
Gouverneur,1,temperature,20.3
Nickle,1,temperature,19.3
Nickle,1,oxygenConcentration,6.93
Nickle,1,oxygenPercent,87.6
Nickle,1,conductivity,452.8
Nickle,1,specificConductivity,508.5
Nickle,1,salinity,0.25
McDonald,1,temperature,20.2
