Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1905:4:16:0 0.251923 0.0858055 -0.155643 0.286842
1905:5:16:0 0.585327 1.27233 -0.330574 0.114448
1905:6:16:0 0.336917 1.14094 -0.0270022 -0.220054
1905:7:16:0 0.714714 0.833457 -0.368456 0.482213
1905:8:16:0 0.699142 1.17685 -0.459557 0.340498
1905:9:16:0 0.978677 0.821507 -0.500922 0.818384
1905:10:16:0 0.620419 0.632261 -0.329538 0.469057
1905:11:16:0 0.568333 1.18743 -0.344188 0.146712
1905:12:16:0 0.594984 0.272971 -0.240866 0.578931
1906:1:16:0 0.320273 0.448016 -0.33701 0.26477
1906:2:16:0 0.426074 0.452119 -0.229668 0.314848
1906:3:16:0 0.855377 -0.0498364 -0.377491 1.06904
1906:4:16:0 0.387226 -0.047599 -0.257794 0.539922
1906:5:16:0 0.201704 -0.062904 -0.115112 0.290712
1906:6:16:0 0.25142 -0.0700729 -0.145807 0.359359
1906:7:16:0 0.0870489 -0.853697 0.0175417 0.505126
1906:8:16:0 0.249341 -1.04543 0.179451 0.682329
1906:9:16:0 -0.475292 -1.07092 0.260398 -0.0700308
1906:10:16:0 -0.531482 -0.769737 0.162335 -0.227781
1906:11:16:0 0.00213308 -0.457727 -0.0598497 0.260921
1906:12:16:0 -0.159386 -0.493229 0.0511134 0.0616719
1907:1:16:0 -0.272072 -0.443799 -0.11373 0.00669241
1907:2:16:0 -0.237903 -0.179907 -0.222731 -0.0365839
1907:3:16:0 -0.22918 -0.356314 -0.227785 0.0628693
1907:4:16:0 -0.313735 -0.476301 -0.325564 0.0871977
1907:5:16:0 -0.139061 -0.655398 -0.225245 0.301261
1907:6:16:0 -0.0674577 -0.247024 0.0279279 0.0420905
1907:7:16:0 -0.0874485 -0.705361 -0.0109084 0.270686
1907:8:16:0 -0.0886571 -1.0532 -0.104879 0.490382
1907:9:16:0 0.0986225 -0.102064 -0.295926 0.297618
1907:10:16:0 -0.276344 -0.585698 0.124536 -0.0457625
1907:11:16:0 -0.0793352 -0.417526 0.123608 0.0676237
1907:12:16:0 -0.122573 -0.436183 -0.0589504 0.124994
1908:1:16:0 -0.27157 -0.214211 -0.213207 -0.0578613
1908:2:16:0 -0.128229 -0.0202416 -0.207756 -0.0142303
1908:3:16:0 -0.318845 0.0255623 -0.0581525 -0.30255
1908:4:16:0 -0.220361 -0.858281 -0.0230807 0.22032
1908:5:16:0 -0.062494 -0.811272 0.00256128 0.341861
1908:6:16:0 -0.295768 0.0826884 -0.148319 -0.262952
1908:7:16:0 -0.31858 -0.587346 0.0449233 -0.0473691
1908:8:16:0 -0.305446 -0.520764 -0.138317 0.0240945
1908:9:16:0 -0.21763 -0.765946 -0.0929156 0.211801
1908:10:16:0 -0.318629 -0.435967 -0.161713 -0.0197888
1908:11:16:0 -0.550466 -0.862064 -0.0571628 -0.090853
1908:12:16:0 -0.698872 -0.867911 -0.269778 -0.130028
1909:1:16:0 -0.296553 0.0563954 -0.184072 -0.232714
1909:2:16:0 -0.482939 -0.775116 -0.100424 -0.0451689
1909:3:16:0 -0.332798 -0.182577 -0.332501 -0.0752589
1909:4:16:0 -0.362279 -0.677461 -0.189309 0.0711054
1909:5:16:0 0.0452996 -0.658759 0.0606392 0.34436
1909:6:16:0 -0.61155 -1.19011 0.185324 -0.109155
1909:7:16:0 -0.641646 -0.92765 0.205113 -0.280377
1909:8:16:0 -0.750237 -1.17916 0.293093 -0.307202
1909:9:16:0 -0.549449 -1.15598 0.246493 -0.0947081
1909:10:16:0 -0.84705 -1.03785 0.135252 -0.395753
1909:11:16:0 -0.982101 -1.09474 0.0593784 -0.464422
1909:12:16:0 -0.737475 -0.837068 0.0413913 -0.339636
1910:1:16:0 -0.895893 -1.05498 0.154565 -0.445687
1910:2:16:0 -0.631249 -0.597975 0.0543135 -0.359418
1910:3:16:0 -0.741615 -0.740095 -0.215602 -0.263766
1910:4:16:0 -0.930095 -0.738056 -0.18179 -0.470172
1910:5:16:0 -0.98446 -0.97068 0.0815755 -0.539908
1910:6:16:0 -0.890354 -0.821812 -0.0121365 -0.47338
1910:7:16:0 -0.743692 -0.682983 0.320995 -0.562698
1910:8:16:0 -0.728451 -0.658703 0.191299 -0.494749
1910:9:16:0 -0.998987 -0.807716 0.132274 -0.661266
1910:10:16:0 -0.864987 -0.870174 0.20352 -0.53166
1910:11:16:0 -0.682924 -0.587285 0.000251678 -0.389407
1910:12:16:0 -0.574629 -0.773142 -0.0567605 -0.159678
1911:1:16:0 -0.467838 -0.560926 -0.0164284 -0.17916
1911:2:16:0 -0.429844 -0.570735 -0.333787 0.022417
1911:3:16:0 -0.622591 -0.618644 -0.0380527 -0.294243
1911:4:16:0 -0.823625 -0.921788 0.0470663 -0.386264
1911:5:16:0 -0.605529 -0.990583 -0.21848 -0.000996947
1911:6:16:0 -0.661779 -0.418472 -0.220448 -0.342319
1911:7:16:0 -0.522511 0.0578164 -0.330398 -0.38622
1911:8:16:0 -0.720137 0.526382 -0.391656 -0.787501
1911:9:16:0 -0.337948 0.910995 -0.531544 -0.527673
1911:10:16:0 -0.203111 0.59256 -0.482612 -0.258085
1911:11:16:0 0.347286 0.866194 -0.643094 0.235736
1911:12:16:0 0.128856 1.25037 -0.422594 -0.285032
1912:1:16:0 0.532692 0.999106 -0.643612 0.354945
1912:2:16:0 0.441213 0.687199 -0.469734 0.33248
1912:3:16:0 0.465623 0.40591 -0.403483 0.46441
1912:4:16:0 0.408594 0.500624 -0.26257 0.289567
1912:5:16:0 0.00784073 0.182415 -0.346599 0.089933
1912:6:16:0 -0.00488304 -0.00272556 -0.140611 0.0667852
1912:7:16:0 0.0459834 -0.525853 -0.0928509 0.355335
1912:8:16:0 -0.14397 -0.282195 -0.059269 0.0267622
1912:9:16:0 -0.0176976 0.059069 -0.129262 0.0173989
1912:10:16:0 -0.11921 -0.149208 -0.116655 0.013722
1912:11:16:0 0.02817 -0.257307 -0.139832 0.22674
1912:12:16:0 -0.279745 -0.306753 -0.198273 -0.0272323
1913:1:16:0 -0.314387 0.110874 -0.334904 -0.202372
1913:2:16:0 0.183055 0.248598 -0.278758 0.198135
1913:3:16:0 0.160872 -0.240709 -0.393045 0.47775
1913:4:16:0 -0.342209 -1.1962 -0.255003 0.383394
1913:5:16:0 -0.166762 -0.514522 -0.422867 0.301933
1913:6:16:0 -0.274481 -0.0793222 -0.212955 -0.128342
1913:7:16:0 -0.327543 0.0037665 -0.280337 -0.189257
1913:8:16:0 -0.338762 0.332187 -0.333107 -0.338303
1913:9:16:0 0.0243212 0.299502 -0.486102 0.117621
1913:10:16:0 -0.149105 0.831757 -0.417646 -0.356161
1913:11:16:0 0.194191 0.683032 -0.313916 0.00963317
1913:12:16:0 0.182472 0.889246 -0.319923 -0.102189
1914:1:16:0 0.0416169 0.691695 -0.390229 -0.109116
1914:2:16:0 0.361079 0.302063 -0.411197 0.415646
1914:3:16:0 0.155411 0.376139 -0.241709 0.0881957
1914:4:16:0 0.418676 -0.0900109 -0.0861948 0.506779
1914:5:16:0 0.209974 -0.277086 -0.0582077 0.377621
1914:6:16:0 0.0838557 -0.0189368 -0.363235 0.274941
1914:7:16:0 0.222543 0.408911 -0.45101 0.243593
1914:8:16:0 0.467313 0.719236 -0.535033 0.375212
1914:9:16:0 0.288845 0.930383 -0.38107 0.0141891
1914:10:16:0 0.170476 0.75926 -0.446848 0.01427
1914:11:16:0 0.158829 0.552642 -0.467172 0.116094
1914:12:16:0 0.31065 0.729798 -0.474105 0.182803
1915:1:16:0 0.469522 0.559608 -0.409989 0.394713
1915:2:16:0 0.494683 0.375968 -0.45505 0.534224
1915:3:16:0 0.436405 0.465504 -0.360323 0.383815
1915:4:16:0 0.318577 0.718742 -0.303543 0.110978
1915:5:16:0 0.374891 1.0345 -0.118847 -0.0829369
1915:6:16:0 0.620193 1.50559 -0.0320303 -0.116587
1915:7:16:0 0.218719 0.355316 0.204602 -0.06124
1915:8:16:0 0.148097 0.000261206 0.269599 0.0131669
1915:9:16:0 0.216493 -0.0963671 0.268898 0.130227
1915:10:16:0 0.295324 -0.257837 0.0850975 0.381694
1915:11:16:0 0.0114903 -0.443138 -0.0285353 0.247327
1915:12:16:0 0.102411 -0.606987 0.0870171 0.362396
1916:1:16:0 0.0763209 -0.416939 0.0125045 0.278538
1916:2:16:0 -0.167629 -0.896446 0.0153184 0.272934
1916:3:16:0 -0.0917628 -0.671665 0.0105612 0.238789
1916:4:16:0 -0.0147303 -0.643325 0.085715 0.264075
1916:5:16:0 0.220841 -0.86561 -0.0926905 0.699992
1916:6:16:0 0.0651211 -0.951647 -0.089285 0.585587
1916:7:16:0 -0.554565 -1.51146 -0.0494711 0.225899
1916:8:16:0 -0.882419 -1.57937 0.216669 -0.20107
1916:9:16:0 -0.903791 -1.49077 0.197722 -0.257266
1916:10:16:0 -0.711825 -1.47212 0.172274 -0.0619035
1916:11:16:0 -0.988111 -1.58398 -0.0232759 -0.184486
1916:12:16:0 -0.826472 -1.04197 -0.0624338 -0.274269
1917:1:16:0 -0.806008 -0.91497 -0.111519 -0.292764
1917:2:16:0 -0.540262 -1.10839 -0.218255 0.123058
1917:3:16:0 -0.466681 -0.896727 -0.394053 0.178709
1917:4:16:0 -0.488789 -0.317484 -0.287255 -0.18642
1917:5:16:0 -0.598437 -0.160115 -0.444753 -0.296003
1917:6:16:0 -0.456219 -0.0839034 -0.310218 -0.259158
1917:7:16:0 -0.373661 0.454334 -0.226423 -0.487617
1917:8:16:0 -0.29968 0.213343 -0.0832411 -0.364731
1917:9:16:0 -0.346348 -0.0673027 0.00992265 -0.317658
1917:10:16:0 -0.198601 -0.353346 -0.0868526 0.0214976
1917:11:16:0 -0.463052 -0.449659 -0.178178 -0.149133
1917:12:16:0 -0.503294 -0.898045 -0.248317 0.0698875
1918:1:16:0 -0.512491 -0.702454 -0.303523 -0.00950181
1918:2:16:0 -0.505155 -0.528373 -0.420409 -0.0307636
1918:3:16:0 -0.465069 -0.268228 -0.276781 -0.192565
1918:4:16:0 -0.441085 0.119769 -0.345358 -0.328291
1918:5:16:0 -0.275163 0.62292 -0.347321 -0.412963
1918:6:16:0 0.114697 1.17384 -0.405765 -0.269341
1918:7:16:0 -0.109486 1.24595 -0.371491 -0.546715
1918:8:16:0 0.0534162 1.08194 -0.513299 -0.230906
1918:9:16:0 0.302138 1.10566 -0.580335 0.0394766
1918:10:16:0 0.514146 1.29728 -0.461214 0.0961111
1918:11:16:0 0.524628 1.34302 -0.458333 0.0822866
1918:12:16:0 0.493723 1.14766 -0.488521 0.164152
1919:1:16:0 0.757868 1.04258 -0.286755 0.379957
1919:2:16:0 0.588258 0.633677 -0.129655 0.336247
1919:3:16:0 0.630466 0.340127 -0.116811 0.518808
1919:4:16:0 0.518886 0.589595 -0.0808439 0.264511
1919:5:16:0 0.567791 0.886793 -0.112921 0.180856
1919:6:16:0 0.430536 0.810004 -0.104562 0.0778149
1919:7:16:0 0.169082 0.47195 -0.238012 0.0521129
1919:8:16:0 0.34378 0.317885 -0.277437 0.323556
1919:9:16:0 0.263032 0.517096 -0.221529 0.115249
1919:10:16:0 0.0171013 0.205214 -0.387175 0.108082
1919:11:16:0 -0.286545 -0.287967 -0.290107 0.00249213
1919:12:16:0 0.195516 0.187979 -0.226992 0.215023
1920:1:16:0 0.235742 0.706635 -0.403421 0.0841349
1920:2:16:0 0.21674 0.574306 -0.375024 0.117099
1920:3:16:0 0.280792 0.330933 -0.298983 0.264817
1920:4:16:0 -0.0519901 0.288691 -0.149653 -0.121509
1920:5:16:0 0.0631265 0.423085 0.0597534 -0.178293
1920:6:16:0 0.247931 -0.0859825 -0.0492185 0.315532
1920:7:16:0 0.214852 -0.876558 -0.228719 0.76749
1920:8:16:0 0.150307 -0.266963 -0.13769 0.352634
1920:9:16:0 0.253891 -0.353081 -0.140306 0.500584
1920:10:16:0 0.570752 -0.705135 -0.162112 1.00437
1920:11:16:0 -0.0361057 -0.183405 -0.234925 0.173059
1920:12:16:0 -0.2971 -0.00841702 -0.190027 -0.197878
1921:1:16:0 0.0111331 -0.235639 -0.0620548 0.15998
1921:2:16:0 -0.388323 -0.205804 -0.103614 -0.233614
1921:3:16:0 -0.879882 -0.495425 -0.0672612 -0.598539
1921:4:16:0 -0.211727 -0.519714 -0.290517 0.193389
1921:5:16:0 -0.590584 -0.392051 -0.145241 -0.321938
1921:6:16:0 -0.337954 -0.361216 0.147178 -0.230935
1921:7:16:0 -0.182671 -0.285523 0.0181024 -0.0489602
1921:8:16:0 -0.00985439 -0.720159 -0.0680202 0.384235
1921:9:16:0 -0.111976 -0.766251 0.0264081 0.257946
1921:10:16:0 0.0230272 -0.271654 -0.0115659 0.164637
1921:11:16:0 -0.44206 -0.319804 -0.000144474 -0.282086
1921:12:16:0 -0.0110336 -0.539191 -0.0695272 0.293326
1922:1:16:0 -0.27145 -0.571895 -0.105732 0.0673635
1922:2:16:0 0.109036 0.181603 -0.34595 0.19121
1922:3:16:0 0.162311 -0.153299 -0.312253 0.395086
1922:4:16:0 -0.236313 -0.149372 -0.113963 -0.104645
1922:5:16:0 0.162658 -0.167697 -0.134737 0.313875
1922:6:16:0 -0.261619 -0.695486 -0.135902 0.154075
1922:7:16:0 -0.0113011 -0.801268 -0.168496 0.473581
1922:8:16:0 -0.177166 -1.00309 -0.412748 0.530752
1922:9:16:0 -0.135085 -0.963338 -0.412463 0.552816
1922:10:16:0 -0.203344 -0.567109 -0.150041 0.155231
1922:11:16:0 -0.0716658 -1.11694 0.0216562 0.475975
1922:12:16:0 -0.434263 -0.823812 -0.0312188 -0.00674742
1923:1:16:0 -0.145218 -0.226568 -0.0797301 0.00793105
1923:2:16:0 -0.245873 -0.150495 -0.157326 -0.0919627
1923:3:16:0 -0.193299 -0.536207 -0.294977 0.222293
1923:4:16:0 -0.0299629 0.0453944 -0.44195 0.168315
1923:5:16:0 -0.0594538 -0.172504 -0.346365 0.199981
1923:6:16:0 -0.0241711 0.288281 -0.213418 -0.0616027
1923:7:16:0 -0.175407 0.424542 -0.30532 -0.235018
1923:8:16:0 0.0775813 -0.107436 -0.506287 0.384443
1923:9:16:0 0.326693 0.116001 -0.680283 0.608835
1923:10:16:0 0.510716 0.0910854 -0.465378 0.697863
1923:11:16:0 0.613297 0.152655 -0.310586 0.692262
1923:12:16:0 0.432664 0.163282 -0.374849 0.538447
1924:1:16:0 0.169445 -0.532855 -0.340301 0.606022
1924:2:16:0 0.187112 -0.261825 -0.219253 0.427651
1924:3:16:0 0.339362 -0.617697 -0.234625 0.765523
1924:4:16:0 0.0766668 -0.496469 -0.0469378 0.34837
1924:5:16:0 -0.305546 -0.958284 0.145771 0.100711
1924:6:16:0 -0.0930627 -0.78662 0.0947029 0.252896
1924:7:16:0 -0.308749 -0.8045 0.111508 0.0377465
1924:8:16:0 -0.439134 -0.75538 0.0382399 -0.0805637
1924:9:16:0 -0.450819 -0.804516 0.143185 -0.120153
1924:10:16:0 -0.410277 -0.513623 0.101448 -0.204189
1924:11:16:0 -0.774678 -0.633338 0.0787499 -0.497385
1924:12:16:0 -0.389355 -0.71819 -0.236981 0.0882306
1925:1:16:0 -0.763707 -0.590288 0.0220137 -0.47957
1925:2:16:0 -0.580138 0.401386 -0.368958 -0.596352
1925:3:16:0 -0.477184 0.481155 -0.246469 -0.594527
1925:4:16:0 -0.29785 0.52613 -0.416331 -0.35275
1925:5:16:0 -0.263107 0.137545 -0.33196 -0.165899
1925:6:16:0 -0.435255 0.616161 -0.266703 -0.609983
1925:7:16:0 0.12001 0.75696 -0.300648 -0.108146
1925:8:16:0 0.301089 0.814255 -0.391482 0.0897022
1925:9:16:0 0.467783 0.704716 -0.397717 0.314284
1925:10:16:0 0.476373 0.719369 -0.421987 0.327682
1925:11:16:0 0.678148 0.767745 -0.424722 0.506637
1925:12:16:0 0.807691 1.09828 -0.24119 0.379147
1926:1:16:0 0.644126 1.2028 -0.412093 0.24877
1926:2:16:0 0.766826 0.772784 -0.0140171 0.387443
1926:3:16:0 0.735177 0.936944 -0.126629 0.33002
1926:4:16:0 0.500009 0.765961 0.130314 0.0518716
1926:5:16:0 0.642026 0.736915 0.169116 0.18901
1926:6:16:0 0.602516 0.409319 0.0225114 0.386601
1926:7:16:0 0.424697 0.61204 -0.11602 0.176687
1926:8:16:0 0.278402 0.0024111 0.150891 0.201751
1926:9:16:0 0.168525 -0.21971 0.146273 0.205243
1926:10:16:0 -0.137892 0.00714289 0.155286 -0.219106
1926:11:16:0 -0.185063 -0.113413 -0.163453 -0.0466298
1926:12:16:0 -0.0905782 0.168916 -0.0202513 -0.164911
1927:1:16:0 0.147783 0.190838 -0.0970173 0.100872
1927:2:16:0 0.231816 0.535532 -0.134421 0.0312606
1927:3:16:0 -0.0880248 -0.0261144 0.0917164 -0.120826
1927:4:16:0 0.065252 -0.0407023 0.107709 0.0317487
1927:5:16:0 -0.333291 -0.173522 -0.115826 -0.188616
1927:6:16:0 0.0258175 -0.151203 0.134951 0.0339435
1927:7:16:0 -0.0435752 -0.383465 -0.0192053 0.15776
1927:8:16:0 0.126755 -0.132956 -0.206075 0.29627
1927:9:16:0 0.00432717 0.0211581 -0.251914 0.119705
1927:10:16:0 0.182453 -0.129251 -0.165259 0.329708
1927:11:16:0 -0.0120302 0.0093393 -0.0271733 -0.00311323
1927:12:16:0 0.296909 -0.156804 -0.126525 0.438574
1928:1:16:0 0.431279 -0.0635445 0.107514 0.409294
1928:2:16:0 0.231134 -0.0602715 -0.0276171 0.275078
1928:3:16:0 0.103871 0.102125 -0.128838 0.117228
1928:4:16:0 0.146883 -0.172105 -0.0436321 0.254751
1928:5:16:0 0.232766 -0.103445 -0.1904 0.379689
1928:6:16:0 0.109488 -0.436601 -0.169517 0.412547
1928:7:16:0 0.0157828 -0.392956 -0.246447 0.335484
1928:8:16:0 0.0114818 -0.386469 -0.153762 0.281597
1928:9:16:0 0.0636598 -0.347368 -0.0693775 0.272033
1928:10:16:0 0.0287416 -0.434281 -0.0656229 0.278693
1928:11:16:0 0.0965573 -0.469861 -0.0429666 0.352971
1928:12:16:0 -0.152502 -0.520862 0.0868741 0.064492
1929:1:16:0 -0.146368 -0.546177 -0.214213 0.233827
1929:2:16:0 -0.101194 -0.137444 -0.159369 0.0472117
1929:3:16:0 -0.0463019 -0.0102107 -0.093106 0.00535638
1929:4:16:0 1.68614e-05 0.450565 -0.33374 -0.0583956
1929:5:16:0 -0.102075 0.305171 -0.393698 -0.0578117
1929:6:16:0 0.0781271 0.331552 -0.372917 0.0988097
1929:7:16:0 0.168207 0.0516519 -0.536401 0.410582
1929:8:16:0 0.146833 0.097751 -0.295751 0.245833
1929:9:16:0 0.190033 0.364642 -0.239072 0.127248
1929:10:16:0 0.279135 -0.0467181 -0.248697 0.426843
1929:11:16:0 0.267444 -0.00806676 -0.108686 0.32582
1929:12:16:0 0.501721 -0.0676659 -0.197368 0.634238
1930:1:16:0 0.498896 -0.407277 -0.396679 0.900874
1930:2:16:0 0.490304 -0.261512 -0.338742 0.790431
1930:3:16:0 0.443439 0.0369289 -0.456492 0.653221
1930:4:16:0 0.390571 0.429771 -0.502741 0.427055
1930:5:16:0 -0.0122901 0.187861 -0.453297 0.120428
1930:6:16:0 0.258874 0.420413 -0.403288 0.250311
1930:7:16:0 0.429285 0.739976 -0.423267 0.27093
1930:8:16:0 0.321949 0.96647 -0.154089 -0.0842412
1930:9:16:0 0.668561 1.06005 -0.438784 0.357929
1930:10:16:0 0.610976 1.46094 -0.0785091 -0.080241
1930:11:16:0 0.96095 1.37062 -0.21841 0.384843
1930:12:16:0 0.648709 1.31771 -0.252109 0.115907
1931:1:16:0 0.76327 1.4026 -0.0560206 0.0899817
1931:2:16:0 0.921822 0.976137 -0.0325808 0.450044
1931:3:16:0 0.560103 1.03754 0.0940828 -0.00570679
1931:4:16:0 0.523675 0.921218 -0.137304 0.131718
1931:5:16:0 0.553035 0.24395 -0.0962953 0.479207
1931:6:16:0 0.582249 0.153049 0.114995 0.448227
1931:7:16:0 0.468587 0.422854 0.131259 0.191531
1931:8:16:0 0.396603 -0.114756 0.0630123 0.422475
1931:9:16:0 -0.0371266 -0.195666 0.185406 -0.0319965
1931:10:16:0 0.0128401 0.24503 -0.0748023 -0.0722737
1931:11:16:0 0.0625742 -0.227549 -0.0425464 0.197622
1931:12:16:0 -0.151242 -0.18094 0.132517 -0.12703
1932:1:16:0 -0.221253 0.360272 -0.137364 -0.332707
1932:2:16:0 -0.122829 0.599221 -0.00779247 -0.418544
1932:3:16:0 0.163876 0.614098 -0.159278 -0.0635337
1932:4:16:0 -0.0159341 0.467043 -0.147476 -0.175718
1932:5:16:0 0.0582416 0.925939 -0.42026 -0.194598
1932:6:16:0 0.105149 0.92467 -0.255678 -0.229347
1932:7:16:0 -0.174702 0.544824 -0.338082 -0.278073
1932:8:16:0 0.0946345 0.497237 -0.3818 0.0369163
1932:9:16:0 0.107853 -0.0116044 -0.200388 0.213849
1932:10:16:0 0.13056 0.181176 -0.0730137 0.0764787
1932:11:16:0 0.0731554 -0.104604 -0.179343 0.215129
1932:12:16:0 -0.17846 -0.0900634 -0.244551 -0.0111529
1933:1:16:0 -0.0106851 -0.250355 -0.01343 0.121207
1933:2:16:0 -0.123142 0.23467 -0.192099 -0.144428
1933:3:16:0 -0.0994764 0.055445 -0.0847154 -0.0848413
1933:4:16:0 0.00526317 0.0456009 0.0271349 -0.0311047
1933:5:16:0 -0.313187 -0.349577 0.0515482 -0.164173
1933:6:16:0 -0.543474 -0.250149 0.0542808 -0.44554
1933:7:16:0 -0.377799 -0.527495 -0.0511986 -0.0884523
1933:8:16:0 -0.583931 -0.391715 -0.027479 -0.374334
1933:9:16:0 -0.652731 -0.436607 0.131815 -0.500334
1933:10:16:0 -0.928322 -0.519876 0.11188 -0.724324
1933:11:16:0 -0.65322 -0.35312 0.0696327 -0.511477
1933:12:16:0 -0.861922 -0.478123 0.0619006 -0.653811
1934:1:16:0 -0.730574 -0.169214 0.142779 -0.717357
1934:2:16:0 -0.65673 -0.376026 -0.091017 -0.423209
1934:3:16:0 -0.693888 0.09948 -0.0907164 -0.69827
1934:4:16:0 -0.340481 0.274075 -0.151375 -0.401831
1934:5:16:0 -0.431745 -0.0240389 -0.315844 -0.261803
1934:6:16:0 -0.260955 0.288624 -0.175012 -0.317761
1934:7:16:0 -0.304838 -0.364144 -0.0859456 -0.0797932
1934:8:16:0 -0.404714 0.287625 0.00145656 -0.549255
1934:9:16:0 -0.337602 0.398129 -0.179409 -0.446962
1934:10:16:0 -0.234851 -0.115692 -0.0664223 -0.143794
1934:11:16:0 -0.123483 -0.193023 0.0427191 -0.0483312
1934:12:16:0 -0.225752 -0.561985 0.0232879 0.0435966
1935:1:16:0 -0.217538 -0.612792 -0.0701053 0.123911
1935:2:16:0 -0.0128368 -0.976177 0.148783 0.40086
1935:3:16:0 -0.164844 -0.195445 -0.0785754 -0.0278336
1935:4:16:0 -0.318977 0.226709 -0.0652933 -0.399685
1935:5:16:0 -0.403824 0.161161 -0.05706 -0.455874
1935:6:16:0 -0.199139 -0.2803 -0.160605 0.0213132
1935:7:16:0 -0.339778 -0.493814 -0.248059 0.0311584
1935:8:16:0 0.126553 0.146714 -0.0464733 0.0764325
1935:9:16:0 0.112751 0.292695 -0.228262 0.0805345
1935:10:16:0 0.229942 0.0565335 -0.187643 0.295497
1935:11:16:0 0.209038 0.3212 -0.137267 0.117072
1935:12:16:0 -0.0225135 0.248394 -0.0988348 -0.0972933
1936:1:16:0 0.314163 -0.104086 -0.152961 0.442686
1936:2:16:0 0.224209 0.278575 -0.00316869 0.0865054
1936:3:16:0 0.125561 0.035119 -0.0350111 0.125507
1936:4:16:0 0.312332 0.275998 -0.174573 0.261619
1936:5:16:0 0.40985 0.0906269 -0.284915 0.506994
1936:6:16:0 0.00806438 -0.224397 0.0168616 0.111832
1936:7:16:0 -0.0194884 0.174957 0.0482124 -0.131073
1936:8:16:0 -0.0704732 -0.113443 0.104261 -0.0658823
1936:9:16:0 0.0191411 0.235652 -0.0136406 -0.0918646
1936:10:16:0 0.306205 0.516997 0.0274945 0.0339594
1936:11:16:0 0.020124 0.249877 0.0897821 -0.149706
1936:12:16:0 0.42895 0.164178 0.140989 0.276366
1937:1:16:0 -0.0823097 0.277119 -0.0285283 -0.206605
1937:2:16:0 0.314813 0.257605 -0.00294183 0.187482
1937:3:16:0 0.611763 -0.321915 -0.0633738 0.804407
1937:4:16:0 0.169949 0.10981 -0.0371897 0.133639
1937:5:16:0 -0.0588364 -0.533056 -0.00270061 0.209042
1937:6:16:0 -0.141432 -0.224309 0.172239 -0.115397
1937:7:16:0 0.249998 0.0869926 -0.0297878 0.221395
1937:8:16:0 0.0400292 -0.253896 -0.0783689 0.206162
1937:9:16:0 0.0932097 0.209848 -0.0203128 -0.00155766
1937:10:16:0 0.0521024 -0.233262 0.0156636 0.160902
1937:11:16:0 0.267785 -0.341639 0.216878 0.330165
1937:12:16:0 -0.0230995 -0.233547 0.20709 -0.00987086
1938:1:16:0 -0.0550862 -0.434706 0.0299799 0.147277
1938:2:16:0 0.0237876 -0.479848 0.0428667 0.242278
1938:3:16:0 0.0796849 -0.41119 0.149324 0.210618
1938:4:16:0 -0.0665022 -0.840466 0.216634 0.245414
1938:5:16:0 -0.33161 -0.0974662 0.0828417 -0.324298
1938:6:16:0 -0.50981 -1.00846 0.00901804 -0.0100911
1938:7:16:0 -0.388723 -1.55366 0.261639 0.257286
1938:8:16:0 -0.485243 -0.744218 0.20527 -0.215769
1938:9:16:0 -0.0685868 -0.330686 0.0832575 0.0551274
1938:10:16:0 -0.580061 -0.141172 0.0858322 -0.552391
1938:11:16:0 -0.452791 -0.419142 0.173733 -0.330087
1938:12:16:0 -0.404345 -0.870383 -0.0812457 0.0714689
1939:1:16:0 -0.420584 -0.248279 -0.0998873 -0.246501
1939:2:16:0 -0.551265 -0.252047 -0.176618 -0.336932
1939:3:16:0 -0.399343 -0.487588 -0.220002 -0.0455476
1939:4:16:0 -0.0742606 -0.210339 -0.0180619 0.0399396
1939:5:16:0 -0.0980711 0.163996 -0.143208 -0.108465
1939:6:16:0 -0.0706447 0.405855 -0.182207 -0.182469
1939:7:16:0 0.241238 0.109307 0.109542 0.131814
1939:8:16:0 -0.0332971 0.307369 0.013764 -0.193864
1939:9:16:0 0.678918 -0.195567 -0.0634016 0.808403
1939:10:16:0 -0.415951 0.149339 -0.249654 -0.365793
1939:11:16:0 0.0900631 0.201209 -0.0763118 0.0276145
1939:12:16:0 0.312679 0.235894 0.0620336 0.163715
1940:1:16:0 0.624242 0.758548 -0.0444891 0.267212
1940:2:16:0 0.735289 0.764753 -0.137348 0.421587
1940:3:16:0 0.718885 0.704387 -0.164517 0.44895
1940:4:16:0 0.526483 0.668162 -0.09664 0.240722
1940:5:16:0 0.422811 0.31301 -0.188971 0.360792
1940:6:16:0 0.649838 0.376273 -0.132447 0.527925
1940:7:16:0 0.501565 0.0934538 0.00934656 0.450164
1940:8:16:0 0.467757 0.498119 -0.22666 0.332028
1940:9:16:0 0.222457 0.366067 -0.0360801 0.0574639
1940:10:16:0 0.436744 0.381869 -0.0130973 0.252358
1940:11:16:0 0.674013 0.252271 0.00594677 0.544904
1940:12:16:0 0.885775 0.470612 -0.119608 0.710273
1941:1:16:0 0.849077 0.741857 -0.060844 0.508571
1941:2:16:0 0.766847 0.972386 -0.0392377 0.300273
1941:3:16:0 0.992133 1.26279 -0.0201894 0.370832
1941:4:16:0 1.04757 1.2749 0.0328178 0.393706
1941:5:16:0 1.01817 1.15007 -0.105532 0.495898
1941:6:16:0 0.670157 0.441778 -0.110451 0.504494
