Date        Box_A     Box_B     Box_C     EMI(=Box_A-0.5*Box_B-0.5*Box_C)
1878:1:16:0 1.1459 1.94623 0.0109656 0.167298
1878:2:16:0 1.18003 1.86132 -0.00333003 0.251033
1878:3:16:0 0.746612 0.915131 0.0229433 0.277575
1878:4:16:0 0.539652 0.760347 0.0731469 0.122905
1878:5:16:0 0.49773 0.557319 0.0462144 0.195963
1878:6:16:0 0.809525 0.551174 -0.034056 0.550966
1878:7:16:0 0.29125 0.486661 0.115697 -0.00992927
1878:8:16:0 0.0255158 0.171986 0.160527 -0.14074
1878:9:16:0 -0.151999 -0.134256 0.192166 -0.180955
1878:10:16:0 -0.265986 -0.167123 0.153179 -0.259013
1878:11:16:0 -0.227578 -0.478187 0.22764 -0.102305
1878:12:16:0 -0.236537 -0.182779 0.168702 -0.229499
1879:1:16:0 -0.0887845 -0.0823598 0.242959 -0.169084
1879:2:16:0 -0.0985202 -0.0970095 0.176023 -0.138027
1879:3:16:0 -0.071706 -0.220516 0.12411 -0.0235034
1879:4:16:0 -0.210079 -0.335966 0.0146491 -0.0494211
1879:5:16:0 -0.470662 -0.512217 0.198825 -0.313966
1879:6:16:0 -0.627905 -0.23911 0.331499 -0.6741
1879:7:16:0 -0.64195 -0.104865 0.32374 -0.751387
1879:8:16:0 -0.559856 -0.139258 0.200013 -0.590233
1879:9:16:0 -0.508622 -0.209895 0.229209 -0.518279
1879:10:16:0 -0.66958 -0.28027 0.0381129 -0.548502
1879:11:16:0 -0.750821 -0.45285 -0.0194013 -0.514695
1879:12:16:0 -0.550446 -0.255022 -0.223612 -0.311129
1880:1:16:0 -0.374825 -0.438115 -0.0813218 -0.115106
1880:2:16:0 -0.299724 -0.0882457 -0.0723744 -0.219414
1880:3:16:0 -0.33486 -0.354637 -0.0459611 -0.134561
1880:4:16:0 -0.335734 -0.314497 -0.125508 -0.115731
1880:5:16:0 -0.404199 -0.32611 -0.178459 -0.151914
1880:6:16:0 -0.460019 -0.472206 -0.262301 -0.0927655
1880:7:16:0 -0.375829 -0.016079 -0.203595 -0.265992
1880:8:16:0 -0.383467 0.220042 -0.147941 -0.419517
1880:9:16:0 -0.257602 0.469803 -0.192538 -0.396235
1880:10:16:0 -0.0412209 0.539339 -0.163232 -0.229275
1880:11:16:0 0.135306 0.583329 -0.138596 -0.0870608
1880:12:16:0 0.214829 0.213239 -0.0649469 0.140683
1881:1:16:0 0.210575 0.131774 -0.0703371 0.179857
1881:2:16:0 0.174121 -0.0532178 -0.07915 0.240305
1881:3:16:0 0.311029 -0.0372168 0.0510227 0.304126
1881:4:16:0 0.46144 0.00699573 -0.0398312 0.477858
1881:5:16:0 0.389543 0.0949776 0.061149 0.31148
1881:6:16:0 0.28595 0.0903168 -0.0294319 0.255507
1881:7:16:0 -0.0658687 0.0528588 0.0562671 -0.120432
1881:8:16:0 0.0278343 -0.228158 -0.0982454 0.191036
1881:9:16:0 -0.0941577 -0.213211 -0.0659984 0.0454471
1881:10:16:0 -0.151476 -0.027431 -0.014097 -0.130712
1881:11:16:0 -0.226093 -0.200129 -0.0757841 -0.0881369
1881:12:16:0 -0.147095 -0.348133 0.0214546 0.0162437
1882:1:16:0 -0.180502 -0.552161 0.044125 0.0735162
1882:2:16:0 -0.295659 -0.58028 0.197541 -0.10429
1882:3:16:0 -0.194583 -0.525091 0.201415 -0.0327452
1882:4:16:0 0.165696 -0.175333 -0.0290207 0.267873
1882:5:16:0 0.146974 -0.279424 -0.0599466 0.316659
1882:6:16:0 0.00652414 -0.693693 -0.061542 0.384142
1882:7:16:0 -0.098738 -0.796673 -0.130782 0.364989
1882:8:16:0 0.0559152 -0.784806 -0.110347 0.503492
1882:9:16:0 -0.289962 -0.397396 -0.106354 -0.0380875
1882:10:16:0 -0.28949 -0.291218 -0.0731076 -0.107327
1882:11:16:0 -0.49988 -0.532274 0.0932989 -0.280392
1882:12:16:0 -0.431345 -0.642894 -0.0242683 -0.0977638
1883:1:16:0 -0.0960725 -0.794134 0.0719233 0.265033
1883:2:16:0 -0.079129 -0.616019 0.0761707 0.190795
1883:3:16:0 -0.118277 -0.607076 -0.0829225 0.226722
1883:4:16:0 -0.108137 -0.207108 -0.0889575 0.0398957
1883:5:16:0 -0.258924 -0.10373 -0.133466 -0.140327
1883:6:16:0 -0.138836 0.122147 -0.124603 -0.137608
1883:7:16:0 -0.00846497 -0.0736313 -0.0982248 0.0774631
1883:8:16:0 -0.151695 -0.434481 -0.201365 0.166228
1883:9:16:0 -0.140736 -0.339096 -0.224226 0.140925
1883:10:16:0 -0.0829724 -0.023605 -0.310113 0.0838864
1883:11:16:0 0.0213308 0.0967166 -0.291061 0.118503
1883:12:16:0 -0.0441547 -0.327397 -0.325529 0.282308
1884:1:16:0 0.064281 -0.213113 -0.433579 0.387627
1884:2:16:0 0.138483 -0.20896 -0.480974 0.48345
1884:3:16:0 0.156981 0.326869 -0.358202 0.172648
1884:4:16:0 0.230471 0.521655 -0.35735 0.148318
1884:5:16:0 0.495932 0.417041 -0.507566 0.541194
1884:6:16:0 0.0323869 0.222839 -0.116709 -0.0206781
1884:7:16:0 0.259365 0.0805336 -0.489972 0.464084
1884:8:16:0 0.197446 0.203245 -0.216076 0.203862
1884:9:16:0 0.144353 0.227605 -0.157724 0.109412
1884:10:16:0 0.0499732 0.275375 -0.216542 0.0205564
1884:11:16:0 -0.0137201 0.485777 -0.172221 -0.170498
1884:12:16:0 0.064293 0.638144 -0.201303 -0.154128
1885:1:16:0 -0.02936 0.355335 -0.115965 -0.149045
1885:2:16:0 0.106435 0.189905 -0.188769 0.105866
1885:3:16:0 0.221149 -0.126246 -0.113514 0.341029
1885:4:16:0 0.107509 -0.0884285 -0.197848 0.250648
1885:5:16:0 0.560737 -0.270521 -0.356403 0.874199
1885:6:16:0 0.269791 -0.480887 -0.46274 0.741604
1885:7:16:0 0.162544 -0.400275 -0.550308 0.637835
1885:8:16:0 0.311485 -0.10495 -0.490215 0.609068
1885:9:16:0 0.393564 0.105892 -0.466769 0.574003
1885:10:16:0 0.551674 0.127439 -0.554897 0.765403
1885:11:16:0 0.507993 0.244459 -0.467682 0.619604
1885:12:16:0 0.496712 0.250274 -0.191916 0.467533
1886:1:16:0 0.316226 -0.604312 -0.034874 0.635819
1886:2:16:0 0.205024 -0.745968 -0.0449335 0.600474
